Time,cumulative_mean_fraction_lambda_C
61.25,0.292108
61.5,0.292204
61.75,0.292274
62,0.292371
62.25,0.29247
62.5,0.292525
62.75,0.292599
63,0.292669
63.25,0.292679
63.5,0.292722
63.75,0.292762
64,0.292813
64.25,0.292858
64.5,0.292891
64.75,0.292935
65,0.292978
65.25,0.293064
65.5,0.293093
65.75,0.293114
66,0.293149
66.25,0.293171
66.5,0.293179
66.75,0.293199
67,0.293218
67.25,0.293235
67.5,0.29326
67.75,0.293268
68,0.293283
68.25,0.293305
68.5,0.293346
68.75,0.293357
69,0.293378
69.25,0.293388
69.5,0.293408
69.75,0.293446
70,0.293475
70.25,0.293498
70.5,0.293523
70.75,0.293572
71,0.293607
71.25,0.293627
71.5,0.293666
71.75,0.29368
72,0.293684
72.25,0.293678
72.5,0.29369
72.75,0.29372
73,0.293735
73.25,0.293735
73.5,0.293751
73.75,0.293751
74,0.293751
74.25,0.293772
74.5,0.29378
74.75,0.293776
75,0.293782
75.25,0.293794
75.5,0.293824
75.75,0.293828
76,0.293828
76.25,0.293823
76.5,0.293843
76.75,0.29384
77,0.293837
77.25,0.293844
77.5,0.293844
77.75,0.293841
78,0.293845
78.25,0.293845
78.5,0.293853
78.75,0.29385
79,0.293865
79.25,0.293865
79.5,0.293869
79.75,0.293863
80,0.29387
80.25,0.29387
80.5,0.293875
80.75,0.293876
81,0.293873
81.25,0.293877
81.5,0.293877
81.75,0.293877
82,0.293874
82.25,0.293874
82.5,0.293878
82.75,0.293878
83,0.293878
83.25,0.293878
83.5,0.293878
83.75,0.293883
84,0.29388
84.25,0.29388
84.5,0.29388
84.75,0.29388
85,0.293877
85.25,0.293877
85.5,0.293877
85.75,0.293884
86,0.293892
86.25,0.293888
86.5,0.293888
86.75,0.293888
87,0.293888
87.25,0.293888
87.5,0.293888
87.75,0.293896
88,0.293896
88.25,0.293903
88.5,0.2939
88.75,0.2939
89,0.2939
89.25,0.2939
89.5,0.2939
89.75,0.2939
90,0.2939
90.25,0.2939
90.5,0.2939
90.75,0.2939
91,0.2939
91.25,0.2939
91.5,0.2939
91.75,0.2939
92,0.2939
92.25,0.2939
92.5,0.2939
92.75,0.2939
93,0.2939
93.25,0.2939
93.5,0.2939
93.75,0.2939
94,0.2939
94.25,0.293908
94.5,0.293908
94.75,0.293908
95,0.293908
95.25,0.293908
95.5,0.293908
95.75,0.293908
96,0.293908
96.25,0.293908
96.5,0.293908
96.75,0.293908
97,0.293908
97.25,0.293908
97.5,0.293908
97.75,0.293908
98,0.293908
98.25,0.293908
98.5,0.293908
98.75,0.293908
99,0.293908
99.25,0.293908
99.5,0.293908
99.75,0.293908
100,0.293908
100.25,0.293908
100.5,0.293908
100.75,0.293908
101,0.293908
101.25,0.293908
101.5,0.293908
101.75,0.293908
102,0.293908
102.25,0.293908
102.5,0.293908
102.75,0.293908
103,0.293908
103.25,0.293908
103.5,0.293908
103.75,0.293908
104,0.293908
104.25,0.293908
104.5,0.293908
104.75,0.293908
105,0.293908
105.25,0.293908
105.5,0.293908
105.75,0.293908
106,0.293908
106.25,0.293908
106.5,0.293908
106.75,0.293908
107,0.293908
107.25,0.293908
107.5,0.293908
107.75,0.293908
108,0.293908
108.25,0.293908
108.5,0.293908
108.75,0.293908
109,0.293908
109.25,0.293908
109.5,0.293908
109.75,0.293908
110,0.293908
110.25,0.293908
110.5,0.293908
110.75,0.293908
111,0.293908
111.25,0.293908
111.5,0.293908
111.75,0.293908
112,0.293908
112.25,0.293908
112.5,0.293908
112.75,0.293908
113,0.293908
113.25,0.293908
113.5,0.293908
113.75,0.293908
114,0.293908
114.25,0.293908
114.5,0.293908
114.75,0.293908
115,0.293908
115.25,0.293908
115.5,0.293908
115.75,0.293908
116,0.293908
116.25,0.293908
116.5,0.293908
116.75,0.293908
117,0.293908
117.25,0.293908
117.5,0.293908
117.75,0.293908
118,0.293908
118.25,0.293908
118.5,0.293908
118.75,0.293908
119,0.293908
119.25,0.293908
119.5,0.293908
119.75,0.293908
