Time,cumulative_new_exposed
82.25,94562
82.5,94562
82.75,94562
83,94565
83.25,94565
83.5,94565
83.75,94565
84,94567
84.25,94567
84.5,94567
84.75,94567
85,94568
85.25,94568
85.5,94568
85.75,94568
86,94570
86.25,94570
86.5,94570
86.75,94570
87,94572
87.25,94572
87.5,94572
87.75,94572
88,94573
88.25,94573
88.5,94573
88.75,94573
89,94575
89.25,94575
89.5,94575
89.75,94575
90,94575
90.25,94575
90.5,94575
90.75,94575
91,94575
91.25,94575
91.5,94575
91.75,94575
92,94575
92.25,94575
92.5,94575
92.75,94575
93,94575
93.25,94575
93.5,94575
93.75,94575
94,94575
94.25,94575
94.5,94575
94.75,94575
95,94576
95.25,94576
95.5,94576
95.75,94576
96,94576
96.25,94576
96.5,94576
96.75,94576
97,94576
97.25,94576
97.5,94576
97.75,94576
98,94576
98.25,94576
98.5,94576
98.75,94576
99,94576
99.25,94576
99.5,94576
99.75,94576
100,94576
100.25,94576
100.5,94576
100.75,94576
101,94576
101.25,94576
101.5,94576
101.75,94576
102,94576
102.25,94576
102.5,94576
102.75,94576
103,94576
103.25,94576
103.5,94576
103.75,94576
104,94576
104.25,94576
104.5,94576
104.75,94576
105,94576
105.25,94576
105.5,94576
105.75,94576
106,94576
106.25,94576
106.5,94576
106.75,94576
107,94576
107.25,94576
107.5,94576
107.75,94576
108,94576
108.25,94576
108.5,94576
108.75,94576
109,94576
109.25,94576
109.5,94576
109.75,94576
110,94576
110.25,94576
110.5,94576
110.75,94576
111,94576
111.25,94576
111.5,94576
111.75,94576
112,94576
112.25,94576
112.5,94576
112.75,94576
113,94576
113.25,94576
113.5,94576
113.75,94576
114,94576
114.25,94576
114.5,94576
114.75,94576
115,94576
115.25,94576
115.5,94576
115.75,94576
116,94576
116.25,94576
116.5,94576
116.75,94576
117,94576
117.25,94576
117.5,94576
117.75,94576
118,94576
118.25,94576
118.5,94576
118.75,94576
119,94576
119.25,94576
119.5,94576
119.75,94576
