Time,normal_interactions,curtailed_interactions
45.25,189901,189901
45.5,190059,190059
45.75,190399,190399
46,190714,190714
46.25,191185,191185
46.5,191657,191657
46.75,192134,192134
47,192655,192655
47.25,193129,193129
47.5,193570,193570
47.75,194129,194129
48,194657,194657
48.25,195210,195210
48.5,195823,195823
48.75,196169,196169
49,196691,196691
49.25,197252,197252
49.5,197781,197781
49.75,198333,198333
50,198846,198846
50.25,199326,199326
50.5,199858,199858
50.75,200287,200287
51,200858,200858
51.25,201317,201317
51.5,201937,201937
51.75,202410,202410
52,202896,202896
52.25,203351,203351
52.5,203841,203841
52.75,204387,204387
53,204837,204837
53.25,205383,205383
53.5,205879,205879
53.75,206420,206420
54,206950,206950
54.25,207354,207354
54.5,207879,207879
54.75,208399,208399
55,208805,208805
55.25,209187,209187
55.5,209577,209577
55.75,209981,209981
56,210314,210314
56.25,210711,210711
56.5,211077,211077
56.75,211401,211401
57,211757,211757
57.25,212152,212152
57.5,212458,212458
57.75,212804,212804
58,213170,213170
58.25,213480,213480
58.5,213813,213813
58.75,214125,214125
59,214469,214469
59.25,214793,214793
59.5,215078,215078
59.75,215372,215372
60,215630,215630
60.25,215887,215887
60.5,216183,216183
60.75,216439,216439
61,216692,216692
61.25,216969,216969
61.5,217196,217196
61.75,217359,217359
62,217617,217617
62.25,217798,217798
62.5,218018,218018
62.75,218205,218205
63,218405,218405
63.25,218564,218564
63.5,218713,218713
63.75,218907,218907
64,219032,219032
64.25,219252,219252
64.5,219387,219387
64.75,219523,219523
65,219711,219711
65.25,219862,219862
65.5,219981,219981
65.75,220105,220105
66,220207,220207
66.25,220341,220341
66.5,220433,220433
66.75,220534,220534
67,220626,220626
67.25,220745,220745
67.5,220856,220856
67.75,220951,220951
68,221041,221041
68.25,221149,221149
68.5,221245,221245
68.75,221337,221337
69,221392,221392
69.25,221449,221449
69.5,221555,221555
69.75,221629,221629
70,221686,221686
70.25,221756,221756
70.5,221805,221805
70.75,221878,221878
71,221931,221931
71.25,221985,221985
71.5,222041,222041
71.75,222098,222098
72,222148,222148
72.25,222205,222205
72.5,222272,222272
72.75,222324,222324
73,222380,222380
73.25,222405,222405
73.5,222435,222435
73.75,222475,222475
74,222528,222528
74.25,222552,222552
74.5,222599,222599
74.75,222622,222622
75,222677,222677
75.25,222709,222709
75.5,222742,222742
75.75,222777,222777
76,222804,222804
76.25,222815,222815
76.5,222856,222856
76.75,222896,222896
77,222933,222933
77.25,222947,222947
77.5,222979,222979
77.75,222994,222994
78,223012,223012
78.25,223027,223027
78.5,223043,223043
78.75,223069,223069
79,223084,223084
79.25,223102,223102
79.5,223136,223136
79.75,223148,223148
80,223160,223160
80.25,223178,223178
80.5,223192,223192
80.75,223209,223209
81,223218,223218
81.25,223226,223226
81.5,223233,223233
81.75,223247,223247
82,223265,223265
82.25,223263,223263
82.5,223289,223289
82.75,223300,223300
83,223307,223307
83.25,223309,223309
83.5,223321,223321
83.75,223329,223329
84,223346,223346
84.25,223344,223344
84.5,223353,223353
84.75,223365,223365
85,223373,223373
85.25,223384,223384
85.5,223393,223393
85.75,223396,223396
86,223397,223397
86.25,223406,223406
86.5,223417,223417
86.75,223423,223423
87,223429,223429
87.25,223432,223432
87.5,223440,223440
87.75,223449,223449
88,223450,223450
88.25,223459,223459
88.5,223460,223460
88.75,223462,223462
89,223464,223464
89.25,223463,223463
89.5,223466,223466
89.75,223469,223469
90,223470,223470
90.25,223476,223476
90.5,223476,223476
90.75,223480,223480
91,223482,223482
91.25,223485,223485
91.5,223485,223485
91.75,223485,223485
92,223485,223485
92.25,223488,223488
92.5,223491,223491
92.75,223494,223494
93,223494,223494
93.25,223497,223497
93.5,223498,223498
93.75,223503,223503
94,223505,223505
94.25,223505,223505
94.5,223507,223507
94.75,223515,223515
95,223515,223515
95.25,223515,223515
95.5,223517,223517
95.75,223521,223521
96,223523,223523
96.25,223527,223527
96.5,223528,223528
96.75,223531,223531
97,223536,223536
97.25,223536,223536
97.5,223537,223537
97.75,223539,223539
98,223542,223542
98.25,223540,223540
98.5,223543,223543
98.75,223543,223543
99,223543,223543
99.25,223547,223547
99.5,223545,223545
99.75,223553,223553
100,223553,223553
100.25,223553,223553
100.5,223553,223553
100.75,223553,223553
101,223553,223553
101.25,223553,223553
101.5,223555,223555
101.75,223555,223555
102,223555,223555
102.25,223555,223555
102.5,223555,223555
102.75,223555,223555
103,223555,223555
103.25,223555,223555
103.5,223557,223557
103.75,223559,223559
104,223559,223559
104.25,223559,223559
104.5,223559,223559
104.75,223559,223559
105,223559,223559
105.25,223559,223559
105.5,223559,223559
105.75,223558,223558
106,223558,223558
106.25,223558,223558
106.5,223559,223559
106.75,223559,223559
107,223559,223559
107.25,223559,223559
107.5,223559,223559
107.75,223559,223559
108,223559,223559
108.25,223559,223559
108.5,223559,223559
108.75,223559,223559
109,223559,223559
109.25,223559,223559
109.5,223559,223559
109.75,223559,223559
110,223559,223559
110.25,223559,223559
110.5,223559,223559
110.75,223559,223559
111,223559,223559
111.25,223559,223559
111.5,223559,223559
111.75,223559,223559
112,223559,223559
112.25,223559,223559
112.5,223559,223559
112.75,223559,223559
113,223559,223559
113.25,223559,223559
113.5,223559,223559
113.75,223559,223559
114,223559,223559
114.25,223559,223559
114.5,223559,223559
114.75,223559,223559
115,223559,223559
115.25,223559,223559
115.5,223559,223559
115.75,223559,223559
116,223559,223559
116.25,223559,223559
116.5,223559,223559
116.75,223559,223559
117,223559,223559
117.25,223559,223559
117.5,223559,223559
117.75,223559,223559
118,223559,223559
118.25,223559,223559
118.5,223559,223559
118.75,223559,223559
119,223559,223559
119.25,223559,223559
119.5,223559,223559
119.75,223562,223562
