Time,cumulative_new_recovered
83,94208
83.25,94208
83.5,94208
83.75,94208
84,94233
84.25,94233
84.5,94233
84.75,94233
85,94267
85.25,94267
85.5,94267
85.75,94267
86,94292
86.25,94292
86.5,94292
86.75,94292
87,94309
87.25,94309
87.5,94309
87.75,94309
88,94323
88.25,94323
88.5,94323
88.75,94323
89,94334
89.25,94334
89.5,94334
89.75,94334
90,94341
90.25,94341
90.5,94341
90.75,94341
91,94348
91.25,94348
91.5,94348
91.75,94348
92,94352
92.25,94352
92.5,94352
92.75,94352
93,94358
93.25,94358
93.5,94358
93.75,94358
94,94365
94.25,94365
94.5,94365
94.75,94365
95,94370
95.25,94370
95.5,94370
95.75,94370
96,94373
96.25,94373
96.5,94373
96.75,94373
97,94378
97.25,94378
97.5,94378
97.75,94378
98,94382
98.25,94382
98.5,94382
98.75,94382
99,94386
99.25,94386
99.5,94386
99.75,94386
100,94392
100.25,94392
100.5,94392
100.75,94392
101,94392
101.25,94392
101.5,94392
101.75,94392
102,94393
102.25,94393
102.5,94393
102.75,94393
103,94393
103.25,94393
103.5,94393
103.75,94393
104,94395
104.25,94395
104.5,94395
104.75,94395
105,94395
105.25,94395
105.5,94395
105.75,94395
106,94395
106.25,94395
106.5,94395
106.75,94395
107,94396
107.25,94396
107.5,94396
107.75,94396
108,94396
108.25,94396
108.5,94396
108.75,94396
109,94396
109.25,94396
109.5,94396
109.75,94396
110,94396
110.25,94396
110.5,94396
110.75,94396
111,94396
111.25,94396
111.5,94396
111.75,94396
112,94396
112.25,94396
112.5,94396
112.75,94396
113,94396
113.25,94396
113.5,94396
113.75,94396
114,94396
114.25,94396
114.5,94396
114.75,94396
115,94396
115.25,94396
115.5,94396
115.75,94396
116,94396
116.25,94396
116.5,94396
116.75,94396
117,94396
117.25,94396
117.5,94396
117.75,94396
118,94396
118.25,94396
118.5,94396
118.75,94396
119,94396
119.25,94396
119.5,94396
119.75,94396
