wardIndex,wardNo,wardName,Employed,Unemployed,hd_flag
334,335,MODEL TOWN_HD Area,7252.0,12264.0,1
335,336,INDER LOK COLONY_HD Area,8892.5,17494.0,1
336,337,KISHAN GANJ_HD Area,10327.5,18908.0,1
337,338,DEPUTY GANJ_HD Area,8508.5,16461.0,1
338,339,KASHMERE GATE_HD Area,3157.0,4487.0,1
339,340,MAJNU KA TILA_HD Area,8796.5,15504.0,1
340,341,CHANDNI CHOWK_HD Area,7628.0,11509.0,1
341,342,MINTO ROAD_HD Area,6842.0,10914.5,1
342,343,QASABPURA_HD Area,9415.5,19626.0,1
343,344,PAHAR GANJ_HD Area,8657.5,15336.0,1
344,345,MODEL BASTI_HD Area,8868.5,14900.0,1
345,346,KAROL BAGH_HD Area,10206.0,15382.5,1
346,347,DEV NAGAR_HD Area,8873.5,17165.5,1
347,348,BALJIT NAGAR_HD Area,8228.0,16029.0,1
348,349,WEST PATEL NAGAR_HD Area,10762.0,21143.0,1
349,350,EAST PATEL NAGAR_HD Area,10175.0,18023.0,1
350,351,NEW RANJIT NAGAR_HD Area,9800.0,16970.5,1
351,352,KIRTI NAGAR_HD Area,10284.0,16465.0,1
352,353,MANSAROWER GARDEN_HD Area,9562.5,14876.0,1
353,354,MOTI NAGAR_HD Area,9414.5,16513.0,1
354,355,KARAM PURA_HD Area,9765.5,15045.0,1
355,356,RAJA GARDEN_HD Area,10840.0,18617.0,1
356,357,RAGHUBIR NAGAR_HD Area,11408.0,19798.0,1
357,358,PUNJABI BAGH_HD Area,9457.5,15526.5,1
358,359,MADIPUR_HD Area,8241.5,16132.5,1
359,360,TAGORE GARDEN_HD Area,8013.0,14518.0,1
360,361,KHYALA_HD Area,9490.0,19996.0,1
361,362,NANGAL RAYA_HD Area,8257.0,14316.5,1
362,363,HARI NAGAR_HD Area,10452.5,15720.5,1
363,364,MAHAVIR NAGAR_HD Area,8511.0,14559.5,1
364,365,TILAK NAGAR_HD Area,8826.0,15709.5,1
365,366,VIKASPURI EAST_HD Area,8273.5,14316.0,1
366,367,MILAP NAGAR_HD Area,11026.5,21597.0,1
367,368,VIKAS PURI_HD Area,9807.0,16680.5,1
368,369,VIKAS NAGAR_HD Area,11253.5,21874.5,1
369,370,MANGLAPURI_HD Area,7827.5,16645.5,1
370,371,SAGARPUR_HD Area,8355.0,18836.5,1
371,372,NANGLI SAKRAVATI_HD Area,10707.0,26074.0,1
372,373,BIJWASAN_HD Area,10066.0,21398.0,1
373,374,KAPAS HERA_HD Area,24453.5,25910.5,1
374,375,MAHIPALPUR_HD Area,10857.0,21037.5,1
375,376,SADH NAGAR_HD Area,7981.5,18104.0,1
376,377,MAHAVIR ENCLAVE_HD Area,13690.0,27825.5,1
377,378,RAJENDER NAGAR_HD Area,10283.0,15390.5,1
378,379,PUSA_HD Area,8611.0,16370.5,1
379,380,INDER PURI_HD Area,8642.5,15775.5,1
380,381,NARAINA_HD Area,9323.0,16637.5,1
381,382,DARYAGANJ_HD Area,4814.5,7975.0,1
382,383,NIZAMUDDIN_HD Area,7019.5,11143.0,1
383,384,LAJPAT NAGAR_HD Area,8576.5,12134.0,1
384,385,BHOGAL_HD Area,8234.0,15128.0,1
385,386,KASTURBA NAGAR_HD Area,7519.5,12672.5,1
386,387,KOTLA MUBARAKPUR_HD Area,8269.5,15583.5,1
387,388,ANDREWSGANJ_HD Area,9966.5,13407.5,1
388,389,MALVIYA NAGAR_HD Area,7146.5,10797.5,1
389,390,HAUZ RANI_HD Area,6642.5,12070.5,1
390,391,VASANT VIHAR_HD Area,8346.5,12478.0,1
391,392,MUNIRKA_HD Area,7814.0,13358.0,1
392,393,R. K. PURAM_HD Area,8509.0,14311.0,1
393,394,NANAK PURA_HD Area,8631.5,13977.0,1
394,395,MEHRAULI_HD Area,10146.5,19527.5,1
395,396,VASANTKUNJ_HD Area,10292.0,15899.0,1
396,397,KISHANGARH_HD Area,10580.5,16374.0,1
397,398,CHHATARPUR_HD Area,12996.5,25418.0,1
398,399,AYA NAGAR_HD Area,9113.0,21128.5,1
399,400,BHATI_HD Area,7360.5,16529.5,1
400,401,SANGAM VIHAR_HD Area,10003.0,23614.5,1
401,402,TIGRI_HD Area,9251.0,20035.5,1
402,403,DAKSHINPURI EXT._HD Area,9144.5,18972.5,1
403,404,MADANGIR_HD Area,7561.0,17000.5,1
404,405,TUGHLAKABAD EXTN_HD Area,9219.5,18536.5,1
405,406,SANGAM VIHAR EAST_HD Area,8305.0,19427.0,1
406,407,CHITRANJAN PARK_HD Area,10199.5,14873.5,1
407,408,SHAPUR JAT_HD Area,12228.5,18606.0,1
408,409,SRI NIWASPURI_HD Area,10224.0,13983.0,1
409,410,EAST OF KAILASH_HD Area,7637.0,11309.5,1
410,411,GOVIND PURI_HD Area,9211.0,17578.5,1
411,412,KALKAJI_HD Area,9169.0,15704.0,1
412,413,TUGHLAKABAD_HD Area,10416.5,19231.0,1
413,414,PUL PEHLAD_HD Area,8069.0,18933.5,1
414,415,TEKHAND_HD Area,7462.5,13791.5,1
415,416,HARKESH NAGAR_HD Area,7740.5,14064.0,1
416,417,BADAR PUR_HD Area,11064.5,23572.0,1
417,418,MOLARBAND_HD Area,10391.0,23653.0,1
418,419,ZAKIR NAGAR_HD Area,11224.5,26150.5,1
419,420,OKHLA_HD Area,13049.5,30146.5,1
420,421,MADANPUR KHADAR_HD Area,15976.0,36237.5,1
421,422,SARITA VIHAR_HD Area,9292.5,17537.0,1
422,423,MAYUR VIHAR PHASE-I_HD Area,8543.0,17795.0,1
423,424,DALLOPURA_HD Area,9395.5,20443.5,1
424,425,TRILOK PURI_HD Area,9208.0,19993.0,1
425,426,KALYAN PURI_HD Area,8023.0,16362.5,1
426,427,GHAROLI_HD Area,10985.0,21921.0,1
427,428,VINOD NAGAR_HD Area,9702.5,19779.5,1
428,429,MAYUR VIHAR PHASE II_HD Area,11712.5,21448.5,1
429,430,PATPARGANJ_HD Area,10968.5,18412.5,1
430,431,KISHAN KUNJ_HD Area,10622.0,19960.5,1
431,432,PANDAV NAGAR_HD Area,9454.5,17561.5,1
432,433,ANAND VIHAR_HD Area,10114.0,17055.5,1
433,434,VISHWASH NAGAR_HD Area,8525.0,17541.5,1
434,435,I.P EXTENTION_HD Area,11738.0,19227.0,1
435,436,PREET VIHAR_HD Area,10293.5,16345.5,1
436,437,KRISHNA  NAGAR_HD Area,10632.0,19119.5,1
437,438,GEETA COLONY_HD Area,10687.0,21931.5,1
438,439,DHARAMPURA_HD Area,6490.0,15214.0,1
439,440,GANDHI NAGAR_HD Area,6831.0,13758.5,1
