Time,susceptible_lambda
63.5,275.721
63.75,239.62
64,221.52
64.25,212.669
64.5,209.509
64.75,222.116
65,211.481
65.25,203.905
65.5,176.388
65.75,189.632
66,181.307
66.25,162.272
66.5,141.687
66.75,135.456
67,137.061
67.25,162.73
67.5,133.081
67.75,113.682
68,129.975
68.25,113.898
68.5,109.058
68.75,100.646
69,95.8881
69.25,105.212
69.5,84.0509
69.75,79.871
70,75.533
70.25,75.4383
70.5,71.6341
70.75,72.0528
71,65.9553
71.25,68.7753
71.5,58.6943
71.75,66.8597
72,57.2712
72.25,56.8864
72.5,52.3678
72.75,60.6579
73,55.2429
73.25,59.9309
73.5,45.7598
73.75,46.2027
74,45.806
74.25,43.871
74.5,46.5474
74.75,40.3608
75,38.7622
75.25,34.2883
75.5,32.4493
75.75,31.3529
76,30.0684
76.25,30.4469
76.5,31.3184
76.75,37.3451
77,30.4429
77.25,24.3289
77.5,31.0341
77.75,23.0092
78,27.2553
78.25,30.6927
78.5,29.9731
78.75,28.0507
79,21.6888
79.25,23.233
79.5,22.2256
79.75,19.3646
80,18.5625
80.25,18.1725
80.5,17.9515
80.75,20.7608
81,23.1975
81.25,22.125
81.5,13.5326
81.75,12.899
82,15.7068
82.25,15.3728
82.5,11.1735
82.75,12.2801
83,14.9939
83.25,9.89693
83.5,9.30638
83.75,9.59967
84,9.41437
84.25,9.14143
84.5,8.89461
84.75,8.16359
85,7.76176
85.25,6.60951
85.5,5.69871
85.75,5.43385
86,5.14583
86.25,9.57297
86.5,13.2219
86.75,9.51881
87,6.52637
87.25,6.27853
87.5,7.24053
87.75,7.07391
88,5.67408
88.25,5.6058
88.5,3.90814
88.75,3.40648
89,3.1118
89.25,3.1756
89.5,3.08348
89.75,2.85528
90,2.95912
90.25,2.84349
90.5,4.54987
90.75,4.54981
91,2.78469
91.25,2.65391
91.5,2.81222
91.75,2.8322
92,2.74053
92.25,2.42254
92.5,3.6831
92.75,3.20144
93,2.34218
93.25,2.32682
93.5,2.15044
93.75,2.09175
94,2.0852
94.25,2.05331
94.5,2.04358
94.75,1.75474
95,1.60383
95.25,1.42063
95.5,1.39248
95.75,1.29997
96,1.25282
96.25,1.47184
96.5,1.78489
96.75,2.07019
97,1.84938
97.25,0.908553
97.5,0.908064
97.75,0.908064
98,0.860668
98.25,0.846738
98.5,0.935184
98.75,0.901917
99,0.860269
99.25,0.816471
99.5,0.816471
99.75,1.00485
100,0.743604
100.25,0.804812
100.5,0.805377
100.75,0.764315
101,0.7566
101.25,0.718353
101.5,0.718353
101.75,0.718235
102,0.711535
102.25,0.711535
102.5,0.737917
102.75,0.789792
103,0.826196
103.25,0.825392
103.5,2.01302
103.75,2.74574
104,2.69867
104.25,2.69318
104.5,2.69318
104.75,8.14051
105,1.04501
105.25,1.01396
105.5,1.01418
105.75,0.531509
106,0.524547
106.25,0.524134
106.5,0.589708
106.75,0.619263
107,0.618557
107.25,0.618531
107.5,0.618531
107.75,0.584734
108,0.584734
108.25,0.584899
108.5,0.579164
108.75,0.533332
109,0.435955
109.25,0.435955
109.5,0.463977
109.75,0.463977
110,0.442305
110.25,0.442305
110.5,0.445487
110.75,0.435941
111,0.435941
111.25,0.422583
111.5,0.340729
111.75,0.340729
112,0.340729
112.25,0.340729
112.5,0.333984
112.75,0.333984
113,0.333975
113.25,0.258905
113.5,0.258906
113.75,0.258906
114,0.258906
114.25,0.258906
114.5,0.126541
114.75,0.126541
115,0.126048
115.25,0.0277007
115.5,0.0276986
115.75,0.0276986
116,0.0276986
116.25,0.0276986
116.5,0.0381693
116.75,0.0276986
117,0.0276986
117.25,0.0276986
117.5,0.0353601
117.75,0.0353601
118,0.0353601
118.25,0.0353601
118.5,0.0353601
118.75,0.0353601
119,0.0353601
119.25,0.0276986
119.5,0.0276986
119.75,0.0276986
