Time,num_symptomatic
82.25,483
82.5,465
82.75,446
83,432
83.25,424
83.5,408
83.75,385
84,371
84.25,360
84.5,347
84.75,334
85,319
85.25,306
85.5,288
85.75,268
86,251
86.25,246
86.5,232
86.75,232
87,219
87.25,211
87.5,204
87.75,197
88,189
88.25,182
88.5,176
88.75,167
89,162
89.25,158
89.5,150
89.75,144
90,139
90.25,131
90.5,126
90.75,124
91,119
91.25,116
91.5,116
91.75,114
92,105
92.25,101
92.5,103
92.75,98
93,93
93.25,91
93.5,88
93.75,85
94,81
94.25,77
94.5,76
94.75,75
95,71
95.25,65
95.5,62
95.75,58
96,53
96.25,52
96.5,49
96.75,48
97,44
97.25,40
97.5,38
97.75,38
98,36
98.25,36
98.5,36
98.75,35
99,31
99.25,30
99.5,30
99.75,26
100,24
100.25,25
100.5,25
100.75,24
101,23
101.25,21
101.5,21
101.75,20
102,19
102.25,19
102.5,21
102.75,23
103,23
103.25,22
103.5,24
103.75,22
104,20
104.25,18
104.5,18
104.75,18
105,18
105.25,16
105.5,16
105.75,16
106,15
106.25,14
106.5,16
106.75,15
107,15
107.25,15
107.5,14
107.75,13
108,15
108.25,15
108.5,14
108.75,12
109,10
109.25,10
109.5,10
109.75,10
110,10
110.25,11
110.5,11
110.75,10
111,10
111.25,9
111.5,8
111.75,8
112,8
112.25,8
112.5,6
112.75,6
113,6
113.25,6
113.5,6
113.75,6
114,6
114.25,6
114.5,5
114.75,5
115,4
115.25,3
115.5,2
115.75,2
116,2
116.25,2
116.5,3
116.75,2
117,2
117.25,2
117.5,2
117.75,2
118,2
118.25,2
118.5,2
118.75,2
119,2
119.25,2
119.5,2
119.75,2
