Time,cumulative_new_deaths
88.5,2482
88.75,2482
89,2484
89.25,2484
89.5,2484
89.75,2484
90,2486
90.25,2486
90.5,2486
90.75,2486
91,2488
91.25,2488
91.5,2488
91.75,2488
92,2489
92.25,2489
92.5,2489
92.75,2489
93,2490
93.25,2490
93.5,2490
93.75,2490
94,2490
94.25,2490
94.5,2490
94.75,2490
95,2493
95.25,2493
95.5,2493
95.75,2493
96,2497
96.25,2497
96.5,2497
96.75,2497
97,2499
97.25,2499
97.5,2499
97.75,2499
98,2500
98.25,2500
98.5,2500
98.75,2500
99,2502
99.25,2502
99.5,2502
99.75,2502
100,2503
100.25,2503
100.5,2503
100.75,2503
101,2504
101.25,2504
101.5,2504
101.75,2504
102,2507
102.25,2507
102.5,2507
102.75,2507
103,2507
103.25,2507
103.5,2507
103.75,2507
104,2507
104.25,2507
104.5,2507
104.75,2507
105,2507
105.25,2507
105.5,2507
105.75,2507
106,2507
106.25,2507
106.5,2507
106.75,2507
107,2507
107.25,2507
107.5,2507
107.75,2507
108,2508
108.25,2508
108.5,2508
108.75,2508
109,2508
109.25,2508
109.5,2508
109.75,2508
110,2509
110.25,2509
110.5,2509
110.75,2509
111,2509
111.25,2509
111.5,2509
111.75,2509
112,2509
112.25,2509
112.5,2509
112.75,2509
113,2509
113.25,2509
113.5,2509
113.75,2509
114,2509
114.25,2509
114.5,2509
114.75,2509
115,2509
115.25,2509
115.5,2509
115.75,2509
116,2509
116.25,2509
116.5,2509
116.75,2509
117,2509
117.25,2509
117.5,2509
117.75,2509
118,2509
118.25,2509
118.5,2509
118.75,2509
119,2509
119.25,2509
119.5,2509
119.75,2509
