Time,cumulative_mean_fraction_lambda_W
61.25,0.39856
61.5,0.398531
61.75,0.398498
62,0.39847
62.25,0.398442
62.5,0.39842
62.75,0.398397
63,0.39837
63.25,0.39835
63.5,0.398329
63.75,0.398304
64,0.398278
64.25,0.398259
64.5,0.398242
64.75,0.398226
65,0.398204
65.25,0.398183
65.5,0.398168
65.75,0.398153
66,0.398135
66.25,0.398122
66.5,0.39811
66.75,0.398096
67,0.398082
67.25,0.398074
67.5,0.398063
67.75,0.398051
68,0.398045
68.25,0.398036
68.5,0.398027
68.75,0.398015
69,0.398003
69.25,0.397995
69.5,0.397985
69.75,0.39798
70,0.397971
70.25,0.397963
70.5,0.397957
70.75,0.397952
71,0.397945
71.25,0.397941
71.5,0.397932
71.75,0.397928
72,0.397924
72.25,0.397918
72.5,0.397912
72.75,0.397911
73,0.397907
73.25,0.397904
73.5,0.397898
73.75,0.397896
74,0.397892
74.25,0.397887
74.5,0.397885
74.75,0.397878
75,0.397872
75.25,0.397867
75.5,0.397864
75.75,0.397859
76,0.397858
76.25,0.397855
76.5,0.397852
76.75,0.39785
77,0.397847
77.25,0.397843
77.5,0.397842
77.75,0.39784
78,0.397837
78.25,0.397834
78.5,0.397832
78.75,0.397829
79,0.397827
79.25,0.397825
79.5,0.397823
79.75,0.397822
80,0.39782
80.25,0.397819
80.5,0.397818
80.75,0.397817
81,0.397812
81.25,0.397811
81.5,0.397808
81.75,0.397807
82,0.397806
82.25,0.397806
82.5,0.397804
82.75,0.397803
83,0.397801
83.25,0.3978
83.5,0.3978
83.75,0.397798
84,0.397796
84.25,0.397795
84.5,0.397795
84.75,0.397793
85,0.397793
85.25,0.397792
85.5,0.39779
85.75,0.39779
86,0.397789
86.25,0.397789
86.5,0.397789
86.75,0.397787
87,0.397786
87.25,0.397786
87.5,0.397786
87.75,0.397786
88,0.397786
88.25,0.397786
88.5,0.397786
88.75,0.397785
89,0.397784
89.25,0.397784
89.5,0.397784
89.75,0.397784
90,0.397784
90.25,0.397784
90.5,0.397784
90.75,0.397784
91,0.397783
91.25,0.397783
91.5,0.397782
91.75,0.397781
92,0.397781
92.25,0.39778
92.5,0.397779
92.75,0.39778
93,0.39778
93.25,0.397779
93.5,0.397779
93.75,0.397779
94,0.397778
94.25,0.397778
94.5,0.397778
94.75,0.397777
95,0.397777
95.25,0.397777
95.5,0.397777
95.75,0.397777
96,0.397777
96.25,0.397777
96.5,0.397777
96.75,0.397777
97,0.397777
97.25,0.397777
97.5,0.397777
97.75,0.397777
98,0.397776
98.25,0.397775
98.5,0.397775
98.75,0.397775
99,0.397775
99.25,0.397774
99.5,0.397774
99.75,0.397773
100,0.397773
100.25,0.397772
100.5,0.397772
100.75,0.397772
101,0.397772
101.25,0.397772
101.5,0.397772
101.75,0.397772
102,0.397772
102.25,0.397772
102.5,0.397772
102.75,0.397772
103,0.397772
103.25,0.397772
103.5,0.397772
103.75,0.397772
104,0.397772
104.25,0.397772
104.5,0.397772
104.75,0.397772
105,0.397771
105.25,0.397771
105.5,0.397771
105.75,0.39777
106,0.39777
106.25,0.39777
106.5,0.39777
106.75,0.39777
107,0.39777
107.25,0.39777
107.5,0.39777
107.75,0.39777
108,0.39777
108.25,0.39777
108.5,0.39777
108.75,0.397769
109,0.397769
109.25,0.397769
109.5,0.397769
109.75,0.397769
110,0.397769
110.25,0.397769
110.5,0.397769
110.75,0.397769
111,0.397769
111.25,0.397769
111.5,0.397769
111.75,0.397769
112,0.397769
112.25,0.397769
112.5,0.397769
112.75,0.397769
113,0.397768
113.25,0.397768
113.5,0.397768
113.75,0.397768
114,0.397768
114.25,0.397768
114.5,0.397768
114.75,0.397768
115,0.397768
115.25,0.397768
115.5,0.397768
115.75,0.397768
116,0.397768
116.25,0.397768
116.5,0.397768
116.75,0.397768
117,0.397768
117.25,0.397768
117.5,0.397768
117.75,0.397768
118,0.397768
118.25,0.397768
118.5,0.397768
118.75,0.397768
119,0.397768
119.25,0.397768
119.5,0.397768
119.75,0.397768
