Time,cumulative_new_detected
81.75,511990
82,512079
82.25,512079
82.5,512079
82.75,512079
83,512156
83.25,512156
83.5,512156
83.75,512156
84,512212
84.25,512212
84.5,512212
84.75,512212
85,512276
85.25,512276
85.5,512276
85.75,512276
86,512333
86.25,512333
86.5,512333
86.75,512333
87,512371
87.25,512371
87.5,512371
87.75,512371
88,512412
88.25,512412
88.5,512412
88.75,512412
89,512439
89.25,512439
89.5,512439
89.75,512439
90,512468
90.25,512468
90.5,512468
90.75,512468
91,512490
91.25,512490
91.5,512490
91.75,512490
92,512500
92.25,512500
92.5,512500
92.75,512500
93,512518
93.25,512518
93.5,512518
93.75,512518
94,512533
94.25,512533
94.5,512533
94.75,512533
95,512544
95.25,512544
95.5,512544
95.75,512544
96,512556
96.25,512556
96.5,512556
96.75,512556
97,512567
97.25,512567
97.5,512567
97.75,512567
98,512576
98.25,512576
98.5,512576
98.75,512576
99,512580
99.25,512580
99.5,512580
99.75,512580
100,512589
100.25,512589
100.5,512589
100.75,512589
101,512593
101.25,512593
101.5,512593
101.75,512593
102,512596
102.25,512596
102.5,512596
102.75,512596
103,512597
103.25,512597
103.5,512597
103.75,512597
104,512600
104.25,512600
104.5,512600
104.75,512600
105,512605
105.25,512605
105.5,512605
105.75,512605
106,512606
106.25,512606
106.5,512606
106.75,512606
107,512608
107.25,512608
107.5,512608
107.75,512608
108,512611
108.25,512611
108.5,512611
108.75,512611
109,512614
109.25,512614
109.5,512614
109.75,512614
110,512616
110.25,512616
110.5,512616
110.75,512616
111,512617
111.25,512617
111.5,512617
111.75,512617
112,512619
112.25,512619
112.5,512619
112.75,512619
113,512620
113.25,512620
113.5,512620
113.75,512620
114,512621
114.25,512621
114.5,512621
114.75,512621
115,512622
115.25,512622
115.5,512622
115.75,512622
116,512625
116.25,512625
116.5,512625
116.75,512625
117,512626
117.25,512626
117.5,512626
117.75,512626
118,512626
118.25,512626
118.5,512626
118.75,512626
119,512626
119.25,512626
119.5,512626
119.75,512626
