Time,daily_new_presymptomatic
61.75,870
62,200
62.25,372
62.5,533
62.75,698
63,180
63.25,320
63.5,466
63.75,608
64,136
64.25,275
64.5,390
64.75,494
65,116
65.25,213
65.5,329
65.75,419
66,102
66.25,187
66.5,274
66.75,367
67,78
67.25,150
67.5,244
67.75,328
68,70
68.25,142
68.5,214
68.75,285
69,67
69.25,110
69.5,169
69.75,230
70,50
70.25,91
70.5,137
70.75,176
71,54
71.25,103
71.5,152
71.75,185
72,39
72.25,80
72.5,106
72.75,144
73,36
73.25,69
73.5,93
73.75,120
74,25
74.25,57
74.5,74
74.75,97
75,26
75.25,41
75.5,61
75.75,76
76,23
76.25,46
76.5,67
76.75,89
77,12
77.25,36
77.5,45
77.75,67
78,13
78.25,25
78.5,38
78.75,52
79,14
79.25,25
79.5,45
79.75,53
80,12
80.25,23
80.5,36
80.75,48
81,10
81.25,20
81.5,34
81.75,39
82,4
82.25,12
82.5,21
82.75,25
83,4
83.25,8
83.5,11
83.75,18
84,9
84.25,15
84.5,22
84.75,28
85,1
85.25,3
85.5,4
85.75,9
86,6
86.25,10
86.5,13
86.75,15
87,2
87.25,9
87.5,13
87.75,16
88,1
88.25,3
88.5,5
88.75,11
89,5
89.25,7
89.5,9
89.75,13
90,2
90.25,4
90.5,4
90.75,5
91,3
91.25,6
91.5,7
91.75,9
92,0
92.25,3
92.5,5
92.75,8
93,0
93.25,0
93.5,1
93.75,1
94,2
94.25,3
94.5,7
94.75,8
95,1
95.25,2
95.5,2
95.75,2
96,1
96.25,4
96.5,5
96.75,5
97,0
97.25,0
97.5,0
97.75,1
98,0
98.25,1
98.5,1
98.75,4
99,0
99.25,0
99.5,1
99.75,2
100,2
100.25,3
100.5,3
100.75,5
101,0
101.25,0
101.5,0
101.75,1
102,0
102.25,2
102.5,3
102.75,3
103,0
103.25,3
103.5,4
103.75,4
104,0
104.25,0
104.5,1
104.75,1
105,0
105.25,1
105.5,1
105.75,2
106,1
106.25,2
106.5,2
106.75,4
107,0
107.25,0
107.5,1
107.75,3
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,2
109.5,2
109.75,2
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,1
113.25,1
113.5,1
113.75,1
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,1
116.5,1
116.75,1
117,0
117.25,1
117.5,1
117.75,1
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
