Time,susceptible_lambda_H
64.75,100.978
65,95.5891
65.25,90.6895
65.5,69.5764
65.75,85.9155
66,81.0506
66.25,66.4981
66.5,49.8574
66.75,48.7528
67,52.5863
67.25,81.2316
67.5,53.5739
67.75,39.1372
68,58.3899
68.25,44.6081
68.5,41.7919
68.75,35.8358
69,33.3379
69.25,45.2289
69.5,26.1124
69.75,23.5824
70,21.353
70.25,23.6217
70.5,21.9292
70.75,24.1289
71,20.0054
71.25,24.158
71.5,15.9085
71.75,25.6291
72,16.7697
72.25,17.9964
72.5,15.1184
72.75,26.1332
73,22.908
73.25,28.4282
73.5,15.3229
73.75,17.2538
74,17.9663
74.25,16.9603
74.5,20.4926
74.75,15.4687
75,15.0911
75.25,11.4712
75.5,11.0315
75.75,10.3698
76,10.2446
76.25,11.8864
76.5,13.1053
76.75,19.6498
77,13.4736
77.25,7.92077
77.5,14.965
77.75,7.56814
78,12.5428
78.25,16.7118
78.5,16.2208
78.75,14.6651
79,8.71287
79.25,10.9455
79.5,11.1014
79.75,9.07133
80,9.12392
80.25,9.02292
80.5,9.06705
80.75,11.8252
81,14.918
81.25,14.3499
81.5,5.94547
81.75,5.8571
82,9.01742
82.25,9.03203
82.5,5.27107
82.75,6.48314
83,9.32569
83.25,4.39975
83.5,3.95935
83.75,4.38219
84,4.34382
84.25,4.02786
84.5,4.02164
84.75,3.34226
85,3.25058
85.25,2.25417
85.5,1.49594
85.75,1.40284
86,1.28231
86.25,5.68068
86.5,8.03997
86.75,4.37128
87,0.838478
87.25,0.843122
87.5,1.60703
87.75,1.62177
88,0.860146
88.25,0.868051
88.5,0.801948
88.75,0.347056
89,0.332292
89.25,0.388909
89.5,0.318525
89.75,0.323383
90,0.391185
90.25,0.432985
90.5,2.12312
90.75,2.12312
91,0.401402
91.25,0.401305
91.5,0.562345
91.75,0.647977
92,0.819451
92.25,0.658293
92.5,1.6899
92.75,1.39137
93,0.703632
93.25,0.703632
93.5,0.570151
93.75,0.569904
94,0.5699
94.25,0.561673
94.5,0.561673
94.75,0.310402
95,0.311009
95.25,0.302573
95.5,0.302573
95.75,0.273919
96,0.273919
96.25,0.494317
96.5,0.811
96.75,1.09689
97,1.09689
97.25,0.169854
97.5,0.169854
97.75,0.169854
98,0.169854
98.25,0.169854
98.5,0.169854
98.75,0.137338
99,0.164035
99.25,0.177384
99.5,0.177384
99.75,0.373248
100,0.373248
100.25,0.431134
100.5,0.431134
100.75,0.431134
101,0.43138
101.25,0.431503
101.5,0.431503
101.75,0.431503
102,0.431503
102.25,0.431503
102.5,0.431503
102.75,0.431503
103,0.431503
103.25,0.4307
103.5,1.59353
103.75,2.32213
104,2.32213
104.25,2.32213
104.5,2.32213
104.75,7.71488
105,0.619406
105.25,0.619406
105.5,0.619406
105.75,0.136964
106,0.136964
106.25,0.136535
106.5,0.136535
106.75,0.136535
107,0.136535
107.25,0.136535
107.5,0.136535
107.75,0.136535
108,0.136535
108.25,0.136535
108.5,0.136535
108.75,0.0911112
109,0.000262824
109.25,0.000262824
109.5,0.00650344
109.75,0.00650344
110,0.00650344
110.25,0.00650344
110.5,0.00962376
110.75,0.000262824
111,0.000262824
111.25,0.000262824
111.5,0.000262824
111.75,0.000262824
112,0.000262824
112.25,0.000262824
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0.0104347
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
