Time,num_exposed
116,3
116.25,2
116.5,2
116.75,2
117,2
117.25,1
117.5,1
117.75,1
118,1
118.25,1
118.5,1
118.75,1
119,1
119.25,1
119.5,1
119.75,1
