Time,daily_new_recovered
85.75,86
86,22
86.25,36
86.5,53
86.75,60
87,17
87.25,29
87.5,41
87.75,61
88,15
88.25,25
88.5,37
88.75,48
89,15
89.25,30
89.5,40
89.75,47
90,11
90.25,23
90.5,31
90.75,35
91,4
91.25,9
91.5,12
91.75,20
92,12
92.25,17
92.5,20
92.75,31
93,11
93.25,13
93.5,16
93.75,20
94,5
94.25,12
94.5,14
94.75,19
95,5
95.25,12
95.5,16
95.75,22
96,6
96.25,8
96.5,13
96.75,17
97,4
97.25,8
97.5,11
97.75,12
98,2
98.25,4
98.5,4
98.75,5
99,7
99.25,9
99.5,9
99.75,13
100,3
100.25,4
100.5,5
100.75,7
101,3
101.25,5
101.5,5
101.75,7
102,2
102.25,3
102.5,3
102.75,3
103,1
103.25,3
103.5,3
103.75,5
104,2
104.25,5
104.5,7
104.75,7
105,2
105.25,4
105.5,4
105.75,5
106,1
106.25,2
106.5,2
106.75,4
107,3
107.25,4
107.5,5
107.75,6
108,2
108.25,2
108.5,3
108.75,5
109,2
109.25,2
109.5,2
109.75,2
110,1
110.25,1
110.5,1
110.75,2
111,0
111.25,1
111.5,2
111.75,2
112,0
112.25,0
112.5,1
112.75,1
113,0
113.25,1
113.5,1
113.75,1
114,0
114.25,0
114.5,1
114.75,1
115,2
115.25,3
115.5,4
115.75,4
116,0
116.25,0
116.5,0
116.75,1
117,0
117.25,1
117.5,1
117.75,1
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,1
119.5,1
119.75,1
