Time,cumulative_new_presymptomatic
80.75,947945
81,947993
81.25,947993
81.5,947993
81.75,947993
82,948032
82.25,948032
82.5,948032
82.75,948032
83,948057
83.25,948057
83.5,948057
83.75,948057
84,948075
84.25,948075
84.5,948075
84.75,948075
85,948103
85.25,948103
85.5,948103
85.75,948103
86,948112
86.25,948112
86.5,948112
86.75,948112
87,948127
87.25,948127
87.5,948127
87.75,948127
88,948143
88.25,948143
88.5,948143
88.75,948143
89,948154
89.25,948154
89.5,948154
89.75,948154
90,948167
90.25,948167
90.5,948167
90.75,948167
91,948172
91.25,948172
91.5,948172
91.75,948172
92,948181
92.25,948181
92.5,948181
92.75,948181
93,948189
93.25,948189
93.5,948189
93.75,948189
94,948190
94.25,948190
94.5,948190
94.75,948190
95,948198
95.25,948198
95.5,948198
95.75,948198
96,948200
96.25,948200
96.5,948200
96.75,948200
97,948205
97.25,948205
97.5,948205
97.75,948205
98,948206
98.25,948206
98.5,948206
98.75,948206
99,948210
99.25,948210
99.5,948210
99.75,948210
100,948212
100.25,948212
100.5,948212
100.75,948212
101,948217
101.25,948217
101.5,948217
101.75,948217
102,948218
102.25,948218
102.5,948218
102.75,948218
103,948221
103.25,948221
103.5,948221
103.75,948221
104,948225
104.25,948225
104.5,948225
104.75,948225
105,948226
105.25,948226
105.5,948226
105.75,948226
106,948228
106.25,948228
106.5,948228
106.75,948228
107,948232
107.25,948232
107.5,948232
107.75,948232
108,948235
108.25,948235
108.5,948235
108.75,948235
109,948235
109.25,948235
109.5,948235
109.75,948235
110,948237
110.25,948237
110.5,948237
110.75,948237
111,948237
111.25,948237
111.5,948237
111.75,948237
112,948237
112.25,948237
112.5,948237
112.75,948237
113,948237
113.25,948237
113.5,948237
113.75,948237
114,948238
114.25,948238
114.5,948238
114.75,948238
115,948238
115.25,948238
115.5,948238
115.75,948238
116,948238
116.25,948238
116.5,948238
116.75,948238
117,948239
117.25,948239
117.5,948239
117.75,948239
118,948240
118.25,948240
118.5,948240
118.75,948240
119,948240
119.25,948240
119.5,948240
119.75,948240
