Time,primary_contact,mild_symptomatic_tested,moderate_symptomatic_tested,severe_symptomatic_tested,icu,requested_tests,cumulative_positive_cases
63,0,0,0,0,0,0,502841
63.25,0,0,0,0,0,0,503183
63.5,0,0,0,0,0,0,503536
63.75,0,0,0,0,0,0,503892
64,0,0,0,0,0,0,504221
64.25,0,0,0,0,0,0,504541
64.5,0,0,0,0,0,0,504829
64.75,0,0,0,0,0,0,505128
65,0,0,0,0,0,0,505400
65.25,0,0,0,0,0,0,505706
65.5,0,0,0,0,0,0,505979
65.75,0,0,0,0,0,0,506227
66,0,0,0,0,0,0,506452
66.25,0,0,0,0,0,0,506692
66.5,0,0,0,0,0,0,506911
66.75,0,0,0,0,0,0,507126
67,0,0,0,0,0,0,507356
67.25,0,0,0,0,0,0,507542
67.5,0,0,0,0,0,0,507712
67.75,0,0,0,0,0,0,507895
68,0,0,0,0,0,0,508073
68.25,0,0,0,0,0,0,508249
68.5,0,0,0,0,0,0,508415
68.75,0,0,0,0,0,0,508557
69,0,0,0,0,0,0,508697
69.25,0,0,0,0,0,0,508840
69.5,0,0,0,0,0,0,508982
69.75,0,0,0,0,0,0,509116
70,0,0,0,0,0,0,509258
70.25,0,0,0,0,0,0,509377
70.5,0,0,0,0,0,0,509504
70.75,0,0,0,0,0,0,509651
71,0,0,0,0,0,0,509768
71.25,0,0,0,0,0,0,509878
71.5,0,0,0,0,0,0,509986
71.75,0,0,0,0,0,0,510090
72,0,0,0,0,0,0,510179
72.25,0,0,0,0,0,0,510271
72.5,0,0,0,0,0,0,510358
72.75,0,0,0,0,0,0,510453
73,0,0,0,0,0,0,510534
73.25,0,0,0,0,0,0,510615
73.5,0,0,0,0,0,0,510677
73.75,0,0,0,0,0,0,510754
74,0,0,0,0,0,0,510822
74.25,0,0,0,0,0,0,510896
74.5,0,0,0,0,0,0,510960
74.75,0,0,0,0,0,0,511032
75,0,0,0,0,0,0,511090
75.25,0,0,0,0,0,0,511148
75.5,0,0,0,0,0,0,511216
75.75,0,0,0,0,0,0,511263
76,0,0,0,0,0,0,511318
76.25,0,0,0,0,0,0,511362
76.5,0,0,0,0,0,0,511391
76.75,0,0,0,0,0,0,511438
77,0,0,0,0,0,0,511477
77.25,0,0,0,0,0,0,511514
77.5,0,0,0,0,0,0,511559
77.75,0,0,0,0,0,0,511594
78,0,0,0,0,0,0,511635
78.25,0,0,0,0,0,0,511669
78.5,0,0,0,0,0,0,511703
78.75,0,0,0,0,0,0,511753
79,0,0,0,0,0,0,511791
79.25,0,0,0,0,0,0,511830
79.5,0,0,0,0,0,0,511864
79.75,0,0,0,0,0,0,511896
80,0,0,0,0,0,0,511927
80.25,0,0,0,0,0,0,511942
80.5,0,0,0,0,0,0,511967
80.75,0,0,0,0,0,0,511990
81,0,0,0,0,0,0,512015
81.25,0,0,0,0,0,0,512040
81.5,0,0,0,0,0,0,512057
81.75,0,0,0,0,0,0,512079
82,0,0,0,0,0,0,512095
82.25,0,0,0,0,0,0,512116
82.5,0,0,0,0,0,0,512134
82.75,0,0,0,0,0,0,512156
83,0,0,0,0,0,0,512169
83.25,0,0,0,0,0,0,512174
83.5,0,0,0,0,0,0,512191
83.75,0,0,0,0,0,0,512212
84,0,0,0,0,0,0,512229
84.25,0,0,0,0,0,0,512247
84.5,0,0,0,0,0,0,512260
84.75,0,0,0,0,0,0,512276
85,0,0,0,0,0,0,512290
85.25,0,0,0,0,0,0,512301
85.5,0,0,0,0,0,0,512316
85.75,0,0,0,0,0,0,512333
86,0,0,0,0,0,0,512348
86.25,0,0,0,0,0,0,512354
86.5,0,0,0,0,0,0,512368
86.75,0,0,0,0,0,0,512371
87,0,0,0,0,0,0,512385
87.25,0,0,0,0,0,0,512394
87.5,0,0,0,0,0,0,512401
87.75,0,0,0,0,0,0,512412
88,0,0,0,0,0,0,512419
88.25,0,0,0,0,0,0,512424
88.5,0,0,0,0,0,0,512432
88.75,0,0,0,0,0,0,512439
89,0,0,0,0,0,0,512447
89.25,0,0,0,0,0,0,512455
89.5,0,0,0,0,0,0,512462
89.75,0,0,0,0,0,0,512468
90,0,0,0,0,0,0,512474
90.25,0,0,0,0,0,0,512482
90.5,0,0,0,0,0,0,512488
90.75,0,0,0,0,0,0,512490
91,0,0,0,0,0,0,512493
91.25,0,0,0,0,0,0,512496
91.5,0,0,0,0,0,0,512499
91.75,0,0,0,0,0,0,512500
92,0,0,0,0,0,0,512507
92.25,0,0,0,0,0,0,512511
92.5,0,0,0,0,0,0,512512
92.75,0,0,0,0,0,0,512518
93,0,0,0,0,0,0,512524
93.25,0,0,0,0,0,0,512527
93.5,0,0,0,0,0,0,512530
93.75,0,0,0,0,0,0,512533
94,0,0,0,0,0,0,512537
94.25,0,0,0,0,0,0,512541
94.5,0,0,0,0,0,0,512541
94.75,0,0,0,0,0,0,512544
95,0,0,0,0,0,0,512547
95.25,0,0,0,0,0,0,512551
95.5,0,0,0,0,0,0,512554
95.75,0,0,0,0,0,0,512556
96,0,0,0,0,0,0,512560
96.25,0,0,0,0,0,0,512562
96.5,0,0,0,0,0,0,512566
96.75,0,0,0,0,0,0,512567
97,0,0,0,0,0,0,512570
97.25,0,0,0,0,0,0,512574
97.5,0,0,0,0,0,0,512576
97.75,0,0,0,0,0,0,512576
98,0,0,0,0,0,0,512577
98.25,0,0,0,0,0,0,512578
98.5,0,0,0,0,0,0,512578
98.75,0,0,0,0,0,0,512580
99,0,0,0,0,0,0,512584
99.25,0,0,0,0,0,0,512585
99.5,0,0,0,0,0,0,512585
99.75,0,0,0,0,0,0,512589
100,0,0,0,0,0,0,512591
100.25,0,0,0,0,0,0,512591
100.5,0,0,0,0,0,0,512591
100.75,0,0,0,0,0,0,512593
101,0,0,0,0,0,0,512594
101.25,0,0,0,0,0,0,512595
101.5,0,0,0,0,0,0,512595
101.75,0,0,0,0,0,0,512596
102,0,0,0,0,0,0,512597
102.25,0,0,0,0,0,0,512597
102.5,0,0,0,0,0,0,512597
102.75,0,0,0,0,0,0,512597
103,0,0,0,0,0,0,512597
103.25,0,0,0,0,0,0,512598
103.5,0,0,0,0,0,0,512598
103.75,0,0,0,0,0,0,512600
104,0,0,0,0,0,0,512602
104.25,0,0,0,0,0,0,512604
104.5,0,0,0,0,0,0,512605
104.75,0,0,0,0,0,0,512605
105,0,0,0,0,0,0,512605
105.25,0,0,0,0,0,0,512606
105.5,0,0,0,0,0,0,512606
105.75,0,0,0,0,0,0,512606
106,0,0,0,0,0,0,512607
106.25,0,0,0,0,0,0,512608
106.5,0,0,0,0,0,0,512608
106.75,0,0,0,0,0,0,512608
107,0,0,0,0,0,0,512609
107.25,0,0,0,0,0,0,512609
107.5,0,0,0,0,0,0,512610
107.75,0,0,0,0,0,0,512611
108,0,0,0,0,0,0,512611
108.25,0,0,0,0,0,0,512611
108.5,0,0,0,0,0,0,512612
108.75,0,0,0,0,0,0,512614
109,0,0,0,0,0,0,512616
109.25,0,0,0,0,0,0,512616
109.5,0,0,0,0,0,0,512616
109.75,0,0,0,0,0,0,512616
110,0,0,0,0,0,0,512616
110.25,0,0,0,0,0,0,512616
110.5,0,0,0,0,0,0,512616
110.75,0,0,0,0,0,0,512617
111,0,0,0,0,0,0,512617
111.25,0,0,0,0,0,0,512618
111.5,0,0,0,0,0,0,512619
111.75,0,0,0,0,0,0,512619
112,0,0,0,0,0,0,512619
112.25,0,0,0,0,0,0,512619
112.5,0,0,0,0,0,0,512620
112.75,0,0,0,0,0,0,512620
113,0,0,0,0,0,0,512620
113.25,0,0,0,0,0,0,512621
113.5,0,0,0,0,0,0,512621
113.75,0,0,0,0,0,0,512621
114,0,0,0,0,0,0,512621
114.25,0,0,0,0,0,0,512621
114.5,0,0,0,0,0,0,512622
114.75,0,0,0,0,0,0,512622
115,0,0,0,0,0,0,512623
115.25,0,0,0,0,0,0,512624
115.5,0,0,0,0,0,0,512625
115.75,0,0,0,0,0,0,512625
116,0,0,0,0,0,0,512625
116.25,0,0,0,0,0,0,512625
116.5,0,0,0,0,0,0,512625
116.75,0,0,0,0,0,0,512626
117,0,0,0,0,0,0,512626
117.25,0,0,0,0,0,0,512626
117.5,0,0,0,0,0,0,512626
117.75,0,0,0,0,0,0,512626
118,0,0,0,0,0,0,512626
118.25,0,0,0,0,0,0,512626
118.5,0,0,0,0,0,0,512626
118.75,0,0,0,0,0,0,512626
119,0,0,0,0,0,0,512626
119.25,0,0,0,0,0,0,512626
119.5,0,0,0,0,0,0,512626
119.75,0,0,0,0,0,0,512626
