Time,num_infected
60.25,17761
60.5,17158
60.75,16582
61,16016
61.25,15432
61.5,14857
61.75,14327
62,13848
62.25,13385
62.5,12879
62.75,12426
63,11997
63.25,11577
63.5,11187
63.75,10771
64,10389
64.25,10038
64.5,9666
64.75,9295
65,8972
65.25,8611
65.5,8310
65.75,8000
66,7733
66.25,7432
66.5,7140
66.75,6878
67,6595
67.25,6374
67.5,6164
67.75,5959
68,5743
68.25,5517
68.5,5329
68.75,5143
69,4960
69.25,4772
69.5,4612
69.75,4455
70,4267
70.25,4099
70.5,3923
70.75,3751
71,3625
71.25,3508
71.5,3396
71.75,3256
72,3136
72.25,3033
72.5,2916
72.75,2798
73,2700
73.25,2594
73.5,2500
73.75,2411
74,2318
74.25,2243
74.5,2162
74.75,2073
75,2007
75.25,1927
75.5,1836
75.75,1770
76,1710
76.25,1652
76.5,1601
76.75,1544
77,1488
77.25,1449
77.5,1374
77.75,1333
78,1277
78.25,1236
78.5,1194
78.75,1135
79,1085
79.25,1034
79.5,996
79.75,958
80,920
80.25,894
80.5,872
80.75,842
81,811
81.25,775
81.5,758
81.75,724
82,702
82.25,681
82.5,656
82.75,621
83,592
83.25,578
83.5,551
83.75,526
84,517
84.25,498
84.5,486
84.75,463
85,446
85.25,425
85.5,401
85.75,382
86,366
86.25,356
86.5,341
86.75,335
87,319
87.25,314
87.5,306
87.75,287
88,271
88.25,263
88.5,253
88.75,248
89,238
89.25,225
89.5,217
89.75,212
90,203
90.25,192
90.5,184
90.75,180
91,179
91.25,177
91.5,174
91.75,168
92,155
92.25,153
92.5,152
92.75,144
93,133
93.25,131
93.5,129
93.75,125
94,121
94.25,115
94.5,116
94.75,111
95,107
95.25,99
95.5,94
95.75,87
96,80
96.25,81
96.5,77
96.75,73
97,68
97.25,64
97.5,61
97.75,61
98,59
98.25,57
98.5,57
98.75,58
99,51
99.25,48
99.5,49
99.75,46
100,45
100.25,45
100.5,43
100.75,43
101,40
101.25,38
101.5,36
101.75,34
102,32
102.25,33
102.5,34
102.75,34
103,33
103.25,34
103.5,35
103.75,33
104,31
104.25,28
104.5,27
104.75,27
105,25
105.25,24
105.5,24
105.75,24
106,24
106.25,24
106.5,24
106.75,24
107,20
107.25,19
107.5,19
107.75,20
108,18
108.25,18
108.5,17
108.75,15
109,13
109.25,14
109.5,14
109.75,14
110,13
110.25,13
110.5,13
110.75,12
111,12
111.25,11
111.5,10
111.75,10
112,10
112.25,10
112.5,9
112.75,9
113,10
113.25,9
113.5,9
113.75,9
114,9
114.25,9
114.5,8
114.75,8
115,6
115.25,5
115.5,4
115.75,4
116,4
116.25,5
116.5,5
116.75,4
117,4
117.25,4
117.5,4
117.75,4
118,4
118.25,4
118.5,4
118.75,4
119,4
119.25,3
119.5,3
119.75,3
