Time,cumulative_new_symptomatic
72.75,7874742
73,7875928
73.25,7875928
73.5,7875928
73.75,7875928
74,7876997
74.25,7876997
74.5,7876997
74.75,7876997
75,7877869
75.25,7877869
75.5,7877869
75.75,7877869
76,7878627
76.25,7878627
76.5,7878627
76.75,7878627
77,7879251
77.25,7879251
77.5,7879251
77.75,7879251
78,7879806
78.25,7879806
78.5,7879806
78.75,7879806
79,7880297
79.25,7880297
79.5,7880297
79.75,7880297
80,7880721
80.25,7880721
80.5,7880721
80.75,7880721
81,7881043
81.25,7881043
81.5,7881043
81.75,7881043
82,7881352
82.25,7881352
82.5,7881352
82.75,7881352
83,7881627
83.25,7881627
83.5,7881627
83.75,7881627
84,7881846
84.25,7881846
84.5,7881846
84.75,7881846
85,7882047
85.25,7882047
85.5,7882047
85.75,7882047
86,7882195
86.25,7882195
86.5,7882195
86.75,7882195
87,7882322
87.25,7882322
87.5,7882322
87.75,7882322
88,7882411
88.25,7882411
88.5,7882411
88.75,7882411
89,7882510
89.25,7882510
89.5,7882510
89.75,7882510
90,7882582
90.25,7882582
90.5,7882582
90.75,7882582
91,7882642
91.25,7882642
91.5,7882642
91.75,7882642
92,7882709
92.25,7882709
92.5,7882709
92.75,7882709
93,7882772
93.25,7882772
93.5,7882772
93.75,7882772
94,7882817
94.25,7882817
94.5,7882817
94.75,7882817
95,7882857
95.25,7882857
95.5,7882857
95.75,7882857
96,7882885
96.25,7882885
96.5,7882885
96.75,7882885
97,7882918
97.25,7882918
97.5,7882918
97.75,7882918
98,7882941
98.25,7882941
98.5,7882941
98.75,7882941
99,7882959
99.25,7882959
99.5,7882959
99.75,7882959
100,7882984
100.25,7882984
100.5,7882984
100.75,7882984
101,7882992
101.25,7882992
101.5,7882992
101.75,7882992
102,7883005
102.25,7883005
102.5,7883005
102.75,7883005
103,7883023
103.25,7883023
103.5,7883023
103.75,7883023
104,7883031
104.25,7883031
104.5,7883031
104.75,7883031
105,7883039
105.25,7883039
105.5,7883039
105.75,7883039
106,7883046
106.25,7883046
106.5,7883046
106.75,7883046
107,7883048
107.25,7883048
107.5,7883048
107.75,7883048
108,7883053
108.25,7883053
108.5,7883053
108.75,7883053
109,7883056
109.25,7883056
109.5,7883056
109.75,7883056
110,7883058
110.25,7883058
110.5,7883058
110.75,7883058
111,7883060
111.25,7883060
111.5,7883060
111.75,7883060
112,7883068
112.25,7883068
112.5,7883068
112.75,7883068
113,7883076
113.25,7883076
113.5,7883076
113.75,7883076
114,7883077
114.25,7883077
114.5,7883077
114.75,7883077
115,7883078
115.25,7883078
115.5,7883078
115.75,7883078
116,7883080
116.25,7883080
116.5,7883080
116.75,7883080
117,7883081
117.25,7883081
117.5,7883081
117.75,7883081
118,7883081
118.25,7883081
118.5,7883081
118.75,7883081
119,7883082
119.25,7883082
119.5,7883082
119.75,7883082
