Time,normal_interactions,curtailed_interactions
17.75,2.72931e+07,2.72931e+07
18,2.72684e+07,2.72684e+07
18.25,2.72433e+07,2.72433e+07
18.5,2.72172e+07,2.72172e+07
18.75,2.71897e+07,2.71897e+07
19,2.7161e+07,2.7161e+07
19.25,2.71303e+07,2.71303e+07
19.5,2.70995e+07,2.70995e+07
19.75,2.70661e+07,2.70661e+07
20,2.70309e+07,2.70309e+07
20.25,2.69952e+07,2.69952e+07
20.5,2.69574e+07,2.69574e+07
20.75,2.69171e+07,2.69171e+07
21,2.68754e+07,2.68754e+07
21.25,2.68323e+07,2.68323e+07
21.5,2.67872e+07,2.67872e+07
21.75,2.67405e+07,2.67405e+07
22,2.66905e+07,2.66905e+07
22.25,2.66389e+07,2.66389e+07
22.5,2.65852e+07,2.65852e+07
22.75,2.65294e+07,2.65294e+07
23,2.64718e+07,2.64718e+07
23.25,2.64104e+07,2.64104e+07
23.5,2.63479e+07,2.63479e+07
23.75,2.62826e+07,2.62826e+07
24,2.62162e+07,2.62162e+07
24.25,2.61481e+07,2.61481e+07
24.5,2.6077e+07,2.6077e+07
24.75,2.60005e+07,2.60005e+07
25,2.5926e+07,2.5926e+07
25.25,2.58476e+07,2.58476e+07
25.5,2.5767e+07,2.5767e+07
25.75,2.56828e+07,2.56828e+07
26,2.55978e+07,2.55978e+07
26.25,2.55133e+07,2.55133e+07
26.5,2.54252e+07,2.54252e+07
26.75,2.53358e+07,2.53358e+07
27,2.52428e+07,2.52428e+07
27.25,2.51517e+07,2.51517e+07
27.5,2.50562e+07,2.50562e+07
27.75,2.49586e+07,2.49586e+07
28,2.48618e+07,2.48618e+07
28.25,2.47651e+07,2.47651e+07
28.5,2.46655e+07,2.46655e+07
28.75,2.45689e+07,2.45689e+07
29,2.44684e+07,2.44684e+07
29.25,2.437e+07,2.437e+07
29.5,2.42729e+07,2.42729e+07
29.75,2.41738e+07,2.41738e+07
30,2.40762e+07,2.40762e+07
30.25,2.39802e+07,2.39802e+07
30.5,2.38859e+07,2.38859e+07
30.75,2.37955e+07,2.37955e+07
31,2.37044e+07,2.37044e+07
31.25,2.36171e+07,2.36171e+07
31.5,2.35336e+07,2.35336e+07
31.75,2.34509e+07,2.34509e+07
32,2.33713e+07,2.33713e+07
32.25,2.32947e+07,2.32947e+07
32.5,2.32245e+07,2.32245e+07
32.75,2.31598e+07,2.31598e+07
33,2.30958e+07,2.30958e+07
33.25,2.3039e+07,2.3039e+07
33.5,2.29865e+07,2.29865e+07
33.75,2.29388e+07,2.29388e+07
34,2.28934e+07,2.28934e+07
34.25,2.28515e+07,2.28515e+07
34.5,2.28175e+07,2.28175e+07
34.75,2.27906e+07,2.27906e+07
35,2.2768e+07,2.2768e+07
35.25,2.275e+07,2.275e+07
35.5,2.27371e+07,2.27371e+07
35.75,2.27307e+07,2.27307e+07
36,2.27285e+07,2.27285e+07
36.25,2.27322e+07,2.27322e+07
36.5,2.27435e+07,2.27435e+07
36.75,2.27566e+07,2.27566e+07
37,2.27776e+07,2.27776e+07
37.25,2.28023e+07,2.28023e+07
37.5,2.28302e+07,2.28302e+07
37.75,2.28631e+07,2.28631e+07
38,2.28999e+07,2.28999e+07
38.25,2.29401e+07,2.29401e+07
38.5,2.29855e+07,2.29855e+07
38.75,2.30341e+07,2.30341e+07
39,2.30848e+07,2.30848e+07
39.25,2.31412e+07,2.31412e+07
39.5,2.31991e+07,2.31991e+07
39.75,2.32596e+07,2.32596e+07
40,2.33237e+07,2.33237e+07
40.25,2.33889e+07,2.33889e+07
40.5,2.34572e+07,2.34572e+07
40.75,2.35267e+07,2.35267e+07
41,2.35995e+07,2.35995e+07
41.25,2.36742e+07,2.36742e+07
41.5,2.37493e+07,2.37493e+07
41.75,2.38259e+07,2.38259e+07
42,2.39027e+07,2.39027e+07
42.25,2.3979e+07,2.3979e+07
42.5,2.40561e+07,2.40561e+07
42.75,2.41327e+07,2.41327e+07
43,2.421e+07,2.421e+07
43.25,2.42883e+07,2.42883e+07
43.5,2.4367e+07,2.4367e+07
43.75,2.4446e+07,2.4446e+07
44,2.45251e+07,2.45251e+07
44.25,2.46015e+07,2.46015e+07
44.5,2.46783e+07,2.46783e+07
44.75,2.47538e+07,2.47538e+07
45,2.48294e+07,2.48294e+07
45.25,2.49043e+07,2.49043e+07
45.5,2.49769e+07,2.49769e+07
45.75,2.50497e+07,2.50497e+07
46,2.51225e+07,2.51225e+07
46.25,2.51943e+07,2.51943e+07
46.5,2.52641e+07,2.52641e+07
46.75,2.53326e+07,2.53326e+07
47,2.53993e+07,2.53993e+07
47.25,2.54655e+07,2.54655e+07
47.5,2.55307e+07,2.55307e+07
47.75,2.55949e+07,2.55949e+07
48,2.5657e+07,2.5657e+07
48.25,2.57197e+07,2.57197e+07
48.5,2.57796e+07,2.57796e+07
48.75,2.58377e+07,2.58377e+07
49,2.58949e+07,2.58949e+07
49.25,2.59504e+07,2.59504e+07
49.5,2.60055e+07,2.60055e+07
49.75,2.60588e+07,2.60588e+07
50,2.61099e+07,2.61099e+07
50.25,2.61609e+07,2.61609e+07
50.5,2.621e+07,2.621e+07
50.75,2.62572e+07,2.62572e+07
51,2.63038e+07,2.63038e+07
51.25,2.63491e+07,2.63491e+07
51.5,2.63934e+07,2.63934e+07
51.75,2.64364e+07,2.64364e+07
52,2.64775e+07,2.64775e+07
52.25,2.6518e+07,2.6518e+07
52.5,2.65567e+07,2.65567e+07
52.75,2.65947e+07,2.65947e+07
53,2.66312e+07,2.66312e+07
53.25,2.66666e+07,2.66666e+07
53.5,2.67013e+07,2.67013e+07
53.75,2.67352e+07,2.67352e+07
54,2.67679e+07,2.67679e+07
54.25,2.67999e+07,2.67999e+07
54.5,2.68307e+07,2.68307e+07
54.75,2.686e+07,2.686e+07
55,2.68885e+07,2.68885e+07
55.25,2.69161e+07,2.69161e+07
55.5,2.69428e+07,2.69428e+07
55.75,2.69683e+07,2.69683e+07
56,2.69933e+07,2.69933e+07
56.25,2.70174e+07,2.70174e+07
56.5,2.7041e+07,2.7041e+07
56.75,2.70634e+07,2.70634e+07
57,2.70859e+07,2.70859e+07
57.25,2.71074e+07,2.71074e+07
57.5,2.71276e+07,2.71276e+07
57.75,2.71475e+07,2.71475e+07
58,2.71665e+07,2.71665e+07
58.25,2.71849e+07,2.71849e+07
58.5,2.72022e+07,2.72022e+07
58.75,2.72195e+07,2.72195e+07
59,2.72363e+07,2.72363e+07
59.25,2.72521e+07,2.72521e+07
59.5,2.72678e+07,2.72678e+07
59.75,2.72829e+07,2.72829e+07
60,2.72972e+07,2.72972e+07
60.25,2.7311e+07,2.7311e+07
60.5,2.73246e+07,2.73246e+07
60.75,2.7338e+07,2.7338e+07
61,2.73507e+07,2.73507e+07
61.25,2.73624e+07,2.73624e+07
61.5,2.73737e+07,2.73737e+07
61.75,2.73849e+07,2.73849e+07
62,2.73954e+07,2.73954e+07
62.25,2.74054e+07,2.74054e+07
62.5,2.74151e+07,2.74151e+07
62.75,2.74247e+07,2.74247e+07
63,2.74338e+07,2.74338e+07
63.25,2.74426e+07,2.74426e+07
63.5,2.74512e+07,2.74512e+07
63.75,2.74594e+07,2.74594e+07
64,2.74674e+07,2.74674e+07
64.25,2.74748e+07,2.74748e+07
64.5,2.74823e+07,2.74823e+07
64.75,2.74896e+07,2.74896e+07
65,2.74964e+07,2.74964e+07
65.25,2.75028e+07,2.75028e+07
65.5,2.75092e+07,2.75092e+07
65.75,2.75154e+07,2.75154e+07
66,2.75214e+07,2.75214e+07
66.25,2.75272e+07,2.75272e+07
66.5,2.75329e+07,2.75329e+07
66.75,2.75385e+07,2.75385e+07
67,2.75437e+07,2.75437e+07
67.25,2.75484e+07,2.75484e+07
67.5,2.7553e+07,2.7553e+07
67.75,2.75574e+07,2.75574e+07
68,2.7562e+07,2.7562e+07
68.25,2.75663e+07,2.75663e+07
68.5,2.757e+07,2.757e+07
68.75,2.75737e+07,2.75737e+07
69,2.75774e+07,2.75774e+07
69.25,2.7581e+07,2.7581e+07
69.5,2.75845e+07,2.75845e+07
69.75,2.75879e+07,2.75879e+07
70,2.75913e+07,2.75913e+07
70.25,2.75943e+07,2.75943e+07
70.5,2.75973e+07,2.75973e+07
70.75,2.76002e+07,2.76002e+07
71,2.7603e+07,2.7603e+07
71.25,2.76055e+07,2.76055e+07
71.5,2.7608e+07,2.7608e+07
71.75,2.76104e+07,2.76104e+07
72,2.76129e+07,2.76129e+07
72.25,2.76152e+07,2.76152e+07
72.5,2.76172e+07,2.76172e+07
72.75,2.76192e+07,2.76192e+07
73,2.76213e+07,2.76213e+07
73.25,2.76232e+07,2.76232e+07
73.5,2.76252e+07,2.76252e+07
73.75,2.76269e+07,2.76269e+07
74,2.76287e+07,2.76287e+07
74.25,2.76304e+07,2.76304e+07
74.5,2.7632e+07,2.7632e+07
74.75,2.76335e+07,2.76335e+07
75,2.76349e+07,2.76349e+07
75.25,2.76363e+07,2.76363e+07
75.5,2.76378e+07,2.76378e+07
75.75,2.76392e+07,2.76392e+07
76,2.76405e+07,2.76405e+07
76.25,2.76418e+07,2.76418e+07
76.5,2.76429e+07,2.76429e+07
76.75,2.7644e+07,2.7644e+07
77,2.7645e+07,2.7645e+07
77.25,2.7646e+07,2.7646e+07
77.5,2.76468e+07,2.76468e+07
77.75,2.76479e+07,2.76479e+07
78,2.76488e+07,2.76488e+07
78.25,2.76496e+07,2.76496e+07
78.5,2.76505e+07,2.76505e+07
78.75,2.76513e+07,2.76513e+07
79,2.76521e+07,2.76521e+07
79.25,2.76529e+07,2.76529e+07
79.5,2.76536e+07,2.76536e+07
79.75,2.76544e+07,2.76544e+07
80,2.76551e+07,2.76551e+07
80.25,2.76557e+07,2.76557e+07
80.5,2.76563e+07,2.76563e+07
80.75,2.76569e+07,2.76569e+07
81,2.76575e+07,2.76575e+07
81.25,2.76581e+07,2.76581e+07
81.5,2.76585e+07,2.76585e+07
81.75,2.7659e+07,2.7659e+07
82,2.76595e+07,2.76595e+07
82.25,2.766e+07,2.766e+07
82.5,2.76604e+07,2.76604e+07
82.75,2.76609e+07,2.76609e+07
83,2.76613e+07,2.76613e+07
83.25,2.76618e+07,2.76618e+07
83.5,2.76622e+07,2.76622e+07
83.75,2.76625e+07,2.76625e+07
84,2.76629e+07,2.76629e+07
84.25,2.76632e+07,2.76632e+07
84.5,2.76636e+07,2.76636e+07
84.75,2.7664e+07,2.7664e+07
85,2.76643e+07,2.76643e+07
85.25,2.76646e+07,2.76646e+07
85.5,2.76649e+07,2.76649e+07
85.75,2.76652e+07,2.76652e+07
86,2.76654e+07,2.76654e+07
86.25,2.76657e+07,2.76657e+07
86.5,2.76659e+07,2.76659e+07
86.75,2.76662e+07,2.76662e+07
87,2.76664e+07,2.76664e+07
87.25,2.76667e+07,2.76667e+07
87.5,2.76669e+07,2.76669e+07
87.75,2.7667e+07,2.7667e+07
88,2.76672e+07,2.76672e+07
88.25,2.76674e+07,2.76674e+07
88.5,2.76675e+07,2.76675e+07
88.75,2.76677e+07,2.76677e+07
89,2.76679e+07,2.76679e+07
89.25,2.7668e+07,2.7668e+07
89.5,2.76682e+07,2.76682e+07
89.75,2.76683e+07,2.76683e+07
90,2.76685e+07,2.76685e+07
90.25,2.76686e+07,2.76686e+07
90.5,2.76687e+07,2.76687e+07
90.75,2.76688e+07,2.76688e+07
91,2.76689e+07,2.76689e+07
91.25,2.76691e+07,2.76691e+07
91.5,2.76692e+07,2.76692e+07
91.75,2.76693e+07,2.76693e+07
92,2.76694e+07,2.76694e+07
92.25,2.76695e+07,2.76695e+07
92.5,2.76696e+07,2.76696e+07
92.75,2.76696e+07,2.76696e+07
93,2.76697e+07,2.76697e+07
93.25,2.76698e+07,2.76698e+07
93.5,2.76699e+07,2.76699e+07
93.75,2.767e+07,2.767e+07
94,2.76701e+07,2.76701e+07
94.25,2.76702e+07,2.76702e+07
94.5,2.76702e+07,2.76702e+07
94.75,2.76703e+07,2.76703e+07
95,2.76703e+07,2.76703e+07
95.25,2.76704e+07,2.76704e+07
95.5,2.76705e+07,2.76705e+07
95.75,2.76706e+07,2.76706e+07
96,2.76706e+07,2.76706e+07
96.25,2.76707e+07,2.76707e+07
96.5,2.76707e+07,2.76707e+07
96.75,2.76708e+07,2.76708e+07
97,2.76708e+07,2.76708e+07
97.25,2.76709e+07,2.76709e+07
97.5,2.76709e+07,2.76709e+07
97.75,2.76709e+07,2.76709e+07
98,2.7671e+07,2.7671e+07
98.25,2.7671e+07,2.7671e+07
98.5,2.76711e+07,2.76711e+07
98.75,2.76711e+07,2.76711e+07
99,2.76711e+07,2.76711e+07
99.25,2.76711e+07,2.76711e+07
99.5,2.76712e+07,2.76712e+07
99.75,2.76712e+07,2.76712e+07
100,2.76712e+07,2.76712e+07
100.25,2.76713e+07,2.76713e+07
100.5,2.76713e+07,2.76713e+07
100.75,2.76713e+07,2.76713e+07
101,2.76713e+07,2.76713e+07
101.25,2.76714e+07,2.76714e+07
101.5,2.76714e+07,2.76714e+07
101.75,2.76714e+07,2.76714e+07
102,2.76714e+07,2.76714e+07
102.25,2.76714e+07,2.76714e+07
102.5,2.76715e+07,2.76715e+07
102.75,2.76715e+07,2.76715e+07
103,2.76715e+07,2.76715e+07
103.25,2.76715e+07,2.76715e+07
103.5,2.76715e+07,2.76715e+07
103.75,2.76716e+07,2.76716e+07
104,2.76716e+07,2.76716e+07
104.25,2.76716e+07,2.76716e+07
104.5,2.76716e+07,2.76716e+07
104.75,2.76716e+07,2.76716e+07
105,2.76716e+07,2.76716e+07
105.25,2.76717e+07,2.76717e+07
105.5,2.76717e+07,2.76717e+07
105.75,2.76717e+07,2.76717e+07
106,2.76717e+07,2.76717e+07
106.25,2.76717e+07,2.76717e+07
106.5,2.76717e+07,2.76717e+07
106.75,2.76717e+07,2.76717e+07
107,2.76717e+07,2.76717e+07
107.25,2.76717e+07,2.76717e+07
107.5,2.76718e+07,2.76718e+07
107.75,2.76718e+07,2.76718e+07
108,2.76718e+07,2.76718e+07
108.25,2.76718e+07,2.76718e+07
108.5,2.76718e+07,2.76718e+07
108.75,2.76718e+07,2.76718e+07
109,2.76718e+07,2.76718e+07
109.25,2.76718e+07,2.76718e+07
109.5,2.76718e+07,2.76718e+07
109.75,2.76718e+07,2.76718e+07
110,2.76718e+07,2.76718e+07
110.25,2.76718e+07,2.76718e+07
110.5,2.76718e+07,2.76718e+07
110.75,2.76718e+07,2.76718e+07
111,2.76718e+07,2.76718e+07
111.25,2.76718e+07,2.76718e+07
111.5,2.76718e+07,2.76718e+07
111.75,2.76719e+07,2.76719e+07
112,2.76719e+07,2.76719e+07
112.25,2.76719e+07,2.76719e+07
112.5,2.76719e+07,2.76719e+07
112.75,2.76719e+07,2.76719e+07
113,2.76719e+07,2.76719e+07
113.25,2.76719e+07,2.76719e+07
113.5,2.76719e+07,2.76719e+07
113.75,2.76719e+07,2.76719e+07
114,2.76719e+07,2.76719e+07
114.25,2.76719e+07,2.76719e+07
114.5,2.76719e+07,2.76719e+07
114.75,2.76719e+07,2.76719e+07
115,2.76719e+07,2.76719e+07
115.25,2.76719e+07,2.76719e+07
115.5,2.76719e+07,2.76719e+07
115.75,2.76719e+07,2.76719e+07
116,2.76719e+07,2.76719e+07
116.25,2.76719e+07,2.76719e+07
116.5,2.76719e+07,2.76719e+07
116.75,2.76719e+07,2.76719e+07
117,2.76719e+07,2.76719e+07
117.25,2.76719e+07,2.76719e+07
117.5,2.76719e+07,2.76719e+07
117.75,2.76719e+07,2.76719e+07
118,2.76719e+07,2.76719e+07
118.25,2.76719e+07,2.76719e+07
118.5,2.76719e+07,2.76719e+07
118.75,2.76719e+07,2.76719e+07
119,2.76719e+07,2.76719e+07
119.25,2.76719e+07,2.76719e+07
119.5,2.76719e+07,2.76719e+07
119.75,2.76719e+07,2.76719e+07
