Time,infections_by_new_infectives
63.25,819.739
63.5,750.602
63.75,707.054
64,701.545
64.25,683.548
64.5,654.262
64.75,584.941
65,568.566
65.25,577.812
65.5,523.618
65.75,497.024
66,481.194
66.25,462.569
66.5,459.446
66.75,449.849
67,379.525
67.25,382.306
67.5,395.522
67.75,353.925
68,343.903
68.25,324.553
68.5,359.907
68.75,347.505
69,315.531
69.25,259.915
69.5,244.85
69.75,280.091
70,230.223
70.25,266.156
70.5,215.963
70.75,233.448
71,246.543
71.25,220.35
71.5,202.227
71.75,187.628
72,188.465
72.25,167.583
72.5,181.301
72.75,154.593
73,167.624
73.25,145.628
73.5,143.058
73.75,137.987
74,132.612
74.25,127.595
74.5,116.876
74.75,132.051
75,122.021
75.25,96.0241
75.5,108.569
75.75,87.2875
76,106.487
76.25,73.9617
76.5,88.1199
76.75,78.8434
77,92.5785
77.25,76.0237
77.5,71.4967
77.75,84.2645
78,78.984
78.25,68.6944
78.5,59.1165
78.75,60.8982
79,71.7904
79.25,58.9625
79.5,63.6662
79.75,43.9898
80,45.5252
80.25,43.7145
80.5,38.9309
80.75,52.6628
81,41.4623
81.25,38.4714
81.5,44.0304
81.75,42.6228
82,39.5872
82.25,39.2726
82.5,41.2065
82.75,25.4979
83,24.4916
83.25,26.0368
83.5,30.1624
83.75,36.3908
84,26.926
84.25,30.9708
84.5,32.8754
84.75,22.5006
85,21.4602
85.25,24.1598
85.5,22.7134
85.75,24.7586
86,16.5386
86.25,15.5108
86.5,8.58139
86.75,15.8237
87,9.05882
87.25,14.9212
87.5,9.14627
87.75,12.851
88,15.1245
88.25,23.8345
88.5,12.2258
88.75,8.68961
89,15.5026
89.25,10.2802
89.5,10.3
89.75,6.34555
90,10.3404
90.25,8.7311
90.5,8.75649
90.75,7.68264
91,6.03147
91.25,7.53175
91.5,8.33492
91.75,4.31848
92,6.85607
92.25,13.186
92.5,5.09746
92.75,7.12664
93,12.9504
93.25,1.40844
93.5,1.92093
93.75,8.60071
94,4.37232
94.25,6.05603
94.5,6.23399
94.75,5.47166
95,3.90233
95.25,6.90083
95.5,2.07996
95.75,5.56644
96,3.50072
96.25,4.2987
96.5,3.90055
96.75,5.37217
97,1.63361
97.25,3.0823
97.5,2.41108
97.75,2.41064
98,0.974205
98.25,1.34091
98.5,1.62265
98.75,2.95599
99,3.85824
99.25,2.56653
99.5,1.14886
99.75,1.40359
100,0.867158
100.25,1.05451
100.5,2.29436
100.75,3.4515
101,0.212137
101.25,1.0176
101.5,0.856372
101.75,2.6107
102,1.21764
102.25,3.00089
102.5,0.107833
102.75,2.04838
103,1.12385
103.25,0.599935
103.5,0.375009
103.75,0.604072
104,0.807597
104.25,0.809065
104.5,0.0311177
104.75,0.332188
105,1.03826
105.25,1.23161
105.5,0.335258
105.75,0.817887
106,0.696074
106.25,0.0879504
106.5,0.0188639
106.75,0.39692
107,0.136668
107.25,0.785841
107.5,0.0155632
107.75,0
108,0.0336405
108.25,0.0793302
108.5,0
108.75,0.747556
109,0.788326
109.25,0.0155224
109.5,0
109.75,0
110,0.369784
110.25,0.334863
110.5,1.61834
110.75,0.531285
111,1.071
111.25,0.245266
111.5,1.06766
111.75,0.472429
112,0.904562
112.25,0
112.5,0
112.75,0.784517
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0.182274
114.75,0
115,0.0150002
115.25,0.415451
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0.0431534
118.5,0.044224
118.75,0
119,0
119.25,0
119.5,0.00715924
119.75,0.00828986
