Time,susceptible_lambda_H
66.75,748.331
67,735.757
67.25,608.56
67.5,639.025
67.75,605.774
68,571.064
68.25,569.73
68.5,512.802
68.75,513.285
69,525.137
69.25,484.297
69.5,456.372
69.75,413.783
70,449.326
70.25,467.698
70.5,432.432
70.75,371.683
71,341.433
71.25,302.474
71.5,315.677
71.75,320.565
72,294.077
72.25,282.826
72.5,294.856
72.75,279.886
73,250.821
73.25,255.259
73.5,211.12
73.75,225.293
74,215.098
74.25,215.737
74.5,210.886
74.75,232.683
75,233.434
75.25,195.12
75.5,181.966
75.75,166.74
76,170.327
76.25,194.606
76.5,149.417
76.75,130.73
77,144.644
77.25,139.439
77.5,142.024
77.75,121.754
78,146.184
78.25,113.944
78.5,123.481
78.75,124.915
79,129.567
79.25,85.0897
79.5,98.2587
79.75,104.952
80,89.8011
80.25,71.8826
80.5,108.363
80.75,75.663
81,73.7828
81.25,73.4083
81.5,65.1714
81.75,52.4225
82,40.8088
82.25,55.3176
82.5,76.2571
82.75,88.0561
83,77.3079
83.25,61.6373
83.5,46.6696
83.75,39.2719
84,43.3856
84.25,32.7422
84.5,35.0732
84.75,42.198
85,39.2472
85.25,26.7173
85.5,26.5805
85.75,23.7625
86,24.2475
86.25,21.3067
86.5,32.8972
86.75,30.5018
87,36.4628
87.25,29.4365
87.5,30.0357
87.75,30.3209
88,30.2798
88.25,30.1612
88.5,32.9073
88.75,24.8629
89,25.6372
89.25,22.9933
89.5,19.2575
89.75,21.1439
90,15.5249
90.25,39.2004
90.5,15.4705
90.75,15.1851
91,8.29338
91.25,10.0974
91.5,30.2782
91.75,12.3438
92,9.68468
92.25,13.8379
92.5,13.5402
92.75,12.9724
93,6.70721
93.25,6.2447
93.5,4.29119
93.75,2.9043
94,5.24545
94.25,5.73262
94.5,3.31682
94.75,3.3405
95,4.17278
95.25,3.02278
95.5,7.98885
95.75,6.17608
96,11.1464
96.25,9.22631
96.5,12.0521
96.75,12.7604
97,21.8189
97.25,15.462
97.5,11.7207
97.75,6.35626
98,4.18326
98.25,2.49158
98.5,1.6587
98.75,1.49557
99,9.4472
99.25,3.32012
99.5,3.29096
99.75,0.9668
100,0.9668
100.25,1.32073
100.5,1.50428
100.75,1.42969
101,1.42965
101.25,1.1215
101.5,1.094
101.75,1.0609
102,1.20596
102.25,0.984273
102.5,1.82145
102.75,1.2364
103,1.23537
103.25,0.589796
103.5,0.569487
103.75,0.57001
104,0.558553
104.25,3.70076
104.5,3.19203
104.75,1.75956
105,1.74954
105.25,1.73605
105.5,2.84814
105.75,2.14876
106,2.15665
106.25,0.490102
106.5,0.490102
106.75,0.490102
107,0.488502
107.25,0.488241
107.5,0.377273
107.75,0.377273
108,0.377273
108.25,0.530306
108.5,0.403036
108.75,0.399774
109,0.399774
109.25,0.399774
109.5,0.374011
109.75,0.374011
110,0.374011
110.25,0.374011
110.5,0.923538
110.75,1.0889
111,1.0889
111.25,1.06518
111.5,0.833936
111.75,1.37958
112,0.817686
112.25,0.371432
112.5,0.407883
112.75,0.407883
113,2.09095
113.25,0.403676
113.5,0.403676
113.75,0.294323
114,0.294323
114.25,0.292736
114.5,0.272037
114.75,0.272037
115,0.263404
115.25,0.263404
115.5,0.263404
115.75,0.263404
116,0.25236
116.25,0.196168
116.5,0.196168
116.75,0.196168
117,0.196168
117.25,0.196168
117.5,0.139977
117.75,0.139977
118,0.0605037
118.25,0.0605037
118.5,0.0605037
118.75,0.0583106
119,0.0583106
119.25,0.0583106
119.5,0.0583106
119.75,0.0583106
