Time,cumulative_new_critical
84.75,63905
85,63941
85.25,63941
85.5,63941
85.75,63941
86,63981
86.25,63981
86.5,63981
86.75,63981
87,64014
87.25,64014
87.5,64014
87.75,64014
88,64051
88.25,64051
88.5,64051
88.75,64051
89,64075
89.25,64075
89.5,64075
89.75,64075
90,64096
90.25,64096
90.5,64096
90.75,64096
91,64124
91.25,64124
91.5,64124
91.75,64124
92,64140
92.25,64140
92.5,64140
92.75,64140
93,64153
93.25,64153
93.5,64153
93.75,64153
94,64161
94.25,64161
94.5,64161
94.75,64161
95,64171
95.25,64171
95.5,64171
95.75,64171
96,64179
96.25,64179
96.5,64179
96.75,64179
97,64182
97.25,64182
97.5,64182
97.75,64182
98,64192
98.25,64192
98.5,64192
98.75,64192
99,64201
99.25,64201
99.5,64201
99.75,64201
100,64205
100.25,64205
100.5,64205
100.75,64205
101,64208
101.25,64208
101.5,64208
101.75,64208
102,64211
102.25,64211
102.5,64211
102.75,64211
103,64218
103.25,64218
103.5,64218
103.75,64218
104,64221
104.25,64221
104.5,64221
104.75,64221
105,64223
105.25,64223
105.5,64223
105.75,64223
106,64226
106.25,64226
106.5,64226
106.75,64226
107,64227
107.25,64227
107.5,64227
107.75,64227
108,64229
108.25,64229
108.5,64229
108.75,64229
109,64232
109.25,64232
109.5,64232
109.75,64232
110,64235
110.25,64235
110.5,64235
110.75,64235
111,64236
111.25,64236
111.5,64236
111.75,64236
112,64236
112.25,64236
112.5,64236
112.75,64236
113,64237
113.25,64237
113.5,64237
113.75,64237
114,64237
114.25,64237
114.5,64237
114.75,64237
115,64238
115.25,64238
115.5,64238
115.75,64238
116,64238
116.25,64238
116.5,64238
116.75,64238
117,64240
117.25,64240
117.5,64240
117.75,64240
118,64240
118.25,64240
118.5,64240
118.75,64240
119,64240
119.25,64240
119.5,64240
119.75,64240
