Time,cumulative_new_exposed
72.25,11751768
72.5,11751768
72.75,11751768
73,11752453
73.25,11752453
73.5,11752453
73.75,11752453
74,11753037
74.25,11753037
74.5,11753037
74.75,11753037
75,11753538
75.25,11753538
75.5,11753538
75.75,11753538
76,11754009
76.25,11754009
76.5,11754009
76.75,11754009
77,11754388
77.25,11754388
77.5,11754388
77.75,11754388
78,11754696
78.25,11754696
78.5,11754696
78.75,11754696
79,11754966
79.25,11754966
79.5,11754966
79.75,11754966
80,11755227
80.25,11755227
80.5,11755227
80.75,11755227
81,11755439
81.25,11755439
81.5,11755439
81.75,11755439
82,11755629
82.25,11755629
82.5,11755629
82.75,11755629
83,11755751
83.25,11755751
83.5,11755751
83.75,11755751
84,11755888
84.25,11755888
84.5,11755888
84.75,11755888
85,11755983
85.25,11755983
85.5,11755983
85.75,11755983
86,11756064
86.25,11756064
86.5,11756064
86.75,11756064
87,11756123
87.25,11756123
87.5,11756123
87.75,11756123
88,11756196
88.25,11756196
88.5,11756196
88.75,11756196
89,11756253
89.25,11756253
89.5,11756253
89.75,11756253
90,11756298
90.25,11756298
90.5,11756298
90.75,11756298
91,11756344
91.25,11756344
91.5,11756344
91.75,11756344
92,11756377
92.25,11756377
92.5,11756377
92.75,11756377
93,11756402
93.25,11756402
93.5,11756402
93.75,11756402
94,11756432
94.25,11756432
94.5,11756432
94.75,11756432
95,11756453
95.25,11756453
95.5,11756453
95.75,11756453
96,11756463
96.25,11756463
96.5,11756463
96.75,11756463
97,11756480
97.25,11756480
97.5,11756480
97.75,11756480
98,11756505
98.25,11756505
98.5,11756505
98.75,11756505
99,11756522
99.25,11756522
99.5,11756522
99.75,11756522
100,11756532
100.25,11756532
100.5,11756532
100.75,11756532
101,11756536
101.25,11756536
101.5,11756536
101.75,11756536
102,11756540
102.25,11756540
102.5,11756540
102.75,11756540
103,11756546
103.25,11756546
103.5,11756546
103.75,11756546
104,11756553
104.25,11756553
104.5,11756553
104.75,11756553
105,11756557
105.25,11756557
105.5,11756557
105.75,11756557
106,11756561
106.25,11756561
106.5,11756561
106.75,11756561
107,11756565
107.25,11756565
107.5,11756565
107.75,11756565
108,11756568
108.25,11756568
108.5,11756568
108.75,11756568
109,11756571
109.25,11756571
109.5,11756571
109.75,11756571
110,11756571
110.25,11756571
110.5,11756571
110.75,11756571
111,11756571
111.25,11756571
111.5,11756571
111.75,11756571
112,11756573
112.25,11756573
112.5,11756573
112.75,11756573
113,11756575
113.25,11756575
113.5,11756575
113.75,11756575
114,11756577
114.25,11756577
114.5,11756577
114.75,11756577
115,11756577
115.25,11756577
115.5,11756577
115.75,11756577
116,11756577
116.25,11756577
116.5,11756577
116.75,11756577
117,11756578
117.25,11756578
117.5,11756578
117.75,11756578
118,11756579
118.25,11756579
118.5,11756579
118.75,11756579
119,11756580
119.25,11756580
119.5,11756580
119.75,11756580
