Time,daily_new_detected
82,253
82.25,475
82.5,682
82.75,925
83,211
83.25,400
83.5,607
83.75,799
84,196
84.25,366
84.5,542
84.75,714
85,154
85.25,298
85.5,435
85.75,572
86,128
86.25,258
86.5,370
86.75,502
87,91
87.25,206
87.5,298
87.75,380
88,83
88.25,181
88.5,251
88.75,331
89,90
89.25,160
89.5,229
89.75,315
90,71
90.25,123
90.5,191
90.75,256
91,60
91.25,118
91.5,172
91.75,210
92,56
92.25,100
92.5,154
92.75,196
93,47
93.25,92
93.5,134
93.75,176
94,40
94.25,82
94.5,115
94.75,144
95,29
95.25,61
95.5,100
95.75,130
96,30
96.25,55
96.5,80
96.75,110
97,16
97.25,31
97.5,54
97.75,70
98,19
98.25,32
98.5,52
98.75,63
99,17
99.25,33
99.5,54
99.75,67
100,18
100.25,25
100.5,40
100.75,46
101,18
101.25,35
101.5,45
101.75,61
102,9
102.25,16
102.5,25
102.75,37
103,6
103.25,16
103.5,29
103.75,35
104,13
104.25,25
104.5,30
104.75,36
105,8
105.25,19
105.5,20
105.75,22
106,8
106.25,14
106.5,17
106.75,21
107,8
107.25,11
107.5,17
107.75,19
108,3
108.25,5
108.5,8
108.75,9
109,3
109.25,5
109.5,11
109.75,13
110,2
110.25,5
110.5,9
110.75,13
111,0
111.25,3
111.5,6
111.75,7
112,5
112.25,9
112.5,10
112.75,10
113,3
113.25,4
113.5,7
113.75,8
114,2
114.25,3
114.5,5
114.75,5
115,2
115.25,3
115.5,6
115.75,6
116,4
116.25,5
116.5,5
116.75,5
117,0
117.25,1
117.5,3
117.75,3
118,1
118.25,1
118.5,1
118.75,2
119,0
119.25,1
119.5,1
119.75,4
