Time,cumulative_mean_fraction_lambda_H
61.25,0.325953
61.5,0.32596
61.75,0.325965
62,0.325968
62.25,0.325971
62.5,0.325975
62.75,0.325979
63,0.325984
63.25,0.325985
63.5,0.325989
63.75,0.325993
64,0.325995
64.25,0.325997
64.5,0.325999
64.75,0.326002
65,0.326005
65.25,0.326009
65.5,0.326011
65.75,0.326012
66,0.326013
66.25,0.326015
66.5,0.326016
66.75,0.326017
67,0.326019
67.25,0.326021
67.5,0.326023
67.75,0.326024
68,0.326025
68.25,0.326027
68.5,0.326029
68.75,0.326029
69,0.32603
69.25,0.326031
69.5,0.326032
69.75,0.326034
70,0.326033
70.25,0.326034
70.5,0.326035
70.75,0.326036
71,0.326037
71.25,0.326037
71.5,0.326038
71.75,0.326038
72,0.326039
72.25,0.326039
72.5,0.326039
72.75,0.32604
73,0.326041
73.25,0.326041
73.5,0.326042
73.75,0.326042
74,0.326043
74.25,0.326043
74.5,0.326043
74.75,0.326043
75,0.326043
75.25,0.326044
75.5,0.326046
75.75,0.326045
76,0.326045
76.25,0.326046
76.5,0.326047
76.75,0.326047
77,0.326047
77.25,0.326048
77.5,0.326048
77.75,0.326048
78,0.326049
78.25,0.326049
78.5,0.32605
78.75,0.326049
79,0.32605
79.25,0.32605
79.5,0.326051
79.75,0.326051
80,0.326052
80.25,0.326052
80.5,0.326052
80.75,0.326052
81,0.326052
81.25,0.326053
81.5,0.326053
81.75,0.326053
82,0.326054
82.25,0.326054
82.5,0.326053
82.75,0.326053
83,0.326053
83.25,0.326054
83.5,0.326054
83.75,0.326054
84,0.326054
84.25,0.326054
84.5,0.326054
84.75,0.326054
85,0.326054
85.25,0.326054
85.5,0.326054
85.75,0.326054
86,0.326055
86.25,0.326054
86.5,0.326054
86.75,0.326054
87,0.326054
87.25,0.326055
87.5,0.326054
87.75,0.326055
88,0.326055
88.25,0.326055
88.5,0.326055
88.75,0.326055
89,0.326055
89.25,0.326055
89.5,0.326055
89.75,0.326055
90,0.326055
90.25,0.326055
90.5,0.326055
90.75,0.326055
91,0.326056
91.25,0.326055
91.5,0.326056
91.75,0.326056
92,0.326056
92.25,0.326056
92.5,0.326056
92.75,0.326056
93,0.326056
93.25,0.326056
93.5,0.326056
93.75,0.326056
94,0.326056
94.25,0.326056
94.5,0.326056
94.75,0.326056
95,0.326056
95.25,0.326056
95.5,0.326056
95.75,0.326056
96,0.326056
96.25,0.326056
96.5,0.326056
96.75,0.326056
97,0.326056
97.25,0.326056
97.5,0.326056
97.75,0.326056
98,0.326056
98.25,0.326056
98.5,0.326056
98.75,0.326056
99,0.326056
99.25,0.326056
99.5,0.326056
99.75,0.326057
100,0.326057
100.25,0.326057
100.5,0.326057
100.75,0.326057
101,0.326057
101.25,0.326057
101.5,0.326057
101.75,0.326056
102,0.326057
102.25,0.326057
102.5,0.326057
102.75,0.326057
103,0.326057
103.25,0.326056
103.5,0.326056
103.75,0.326056
104,0.326056
104.25,0.326056
104.5,0.326056
104.75,0.326056
105,0.326056
105.25,0.326056
105.5,0.326056
105.75,0.326056
106,0.326056
106.25,0.326056
106.5,0.326056
106.75,0.326056
107,0.326056
107.25,0.326056
107.5,0.326056
107.75,0.326056
108,0.326056
108.25,0.326056
108.5,0.326056
108.75,0.326056
109,0.326056
109.25,0.326056
109.5,0.326056
109.75,0.326056
110,0.326056
110.25,0.326056
110.5,0.326056
110.75,0.326056
111,0.326056
111.25,0.326056
111.5,0.326056
111.75,0.326056
112,0.326056
112.25,0.326056
112.5,0.326056
112.75,0.326056
113,0.326056
113.25,0.326056
113.5,0.326056
113.75,0.326056
114,0.326056
114.25,0.326056
114.5,0.326056
114.75,0.326056
115,0.326056
115.25,0.326056
115.5,0.326056
115.75,0.326056
116,0.326056
116.25,0.326057
116.5,0.326057
116.75,0.326057
117,0.326057
117.25,0.326057
117.5,0.326057
117.75,0.326057
118,0.326057
118.25,0.326057
118.5,0.326057
118.75,0.326057
119,0.326057
119.25,0.326057
119.5,0.326057
119.75,0.326057
