Time,susceptible_lambda_C
65.5,1157.81
65.75,1118.88
66,1075.27
66.25,1034.78
66.5,992.388
66.75,955.462
67,917.573
67.25,886.072
67.5,852.404
67.75,820.827
68,785.888
68.25,760.484
68.5,736.733
68.75,713.362
69,687.388
69.25,662.1
69.5,634.857
69.75,607.658
70,585.91
70.25,560.704
70.5,539.311
70.75,518.402
71,496.921
71.25,477.989
71.5,461.963
71.75,444.98
72,426.14
72.25,407.513
72.5,393.083
72.75,379.249
73,366.628
73.25,351.439
73.5,337.867
73.75,326.037
74,317.332
74.25,304.597
74.5,291.532
74.75,281.337
75,270.578
75.25,258.633
75.5,247.133
75.75,235.746
76,226.682
76.25,218.852
76.5,209.248
76.75,200.287
77,193.208
77.25,184.872
77.5,179.418
77.75,171.497
78,165.647
78.25,159.962
78.5,153.65
78.75,146.974
79,141.603
79.25,136.585
79.5,131.906
79.75,126.359
80,123.107
80.25,119.316
80.5,116.223
80.75,111.613
81,108.647
81.25,103.914
81.5,99.2555
81.75,94.9054
82,91.7045
82.25,88.8062
82.5,85.8624
82.75,81.9801
83,78.649
83.25,75.4567
83.5,72.3976
83.75,70.6258
84,68.0798
84.25,65.0353
84.5,61.631
84.75,59.4576
85,57.0533
85.25,55.219
85.5,53.5796
85.75,50.8579
86,49.4003
86.25,47.2604
86.5,45.9254
86.75,43.646
87,41.3481
87.25,38.6384
87.5,37.9166
87.75,36.2555
88,34.9528
88.25,33.7777
88.5,32.5905
88.75,30.6468
89,29.2575
89.25,28.4853
89.5,27.5888
89.75,25.8494
90,24.8835
90.25,24.4114
90.5,23.319
90.75,22.2813
91,21.7333
91.25,20.8074
91.5,19.8251
91.75,19.0697
92,18.4457
92.25,17.3726
92.5,17.1968
92.75,16.8318
93,16.1549
93.25,15.7536
93.5,14.2666
93.75,13.5836
94,12.9407
94.25,12.1648
94.5,12.219
94.75,11.7588
95,11.35
95.25,10.6957
95.5,10.3929
95.75,10.4455
96,10.2011
96.25,9.68084
96.5,9.3123
96.75,8.63975
97,8.49003
97.25,8.22483
97.5,7.81426
97.75,7.34014
98,7.08541
98.25,6.87877
98.5,6.73874
98.75,6.50348
99,6.44782
99.25,5.9891
99.5,5.62652
99.75,5.48373
100,5.11077
100.25,5.08644
100.5,4.98893
100.75,4.68738
101,4.63665
101.25,4.3607
101.5,4.03664
101.75,3.82134
102,3.73459
102.25,3.77762
102.5,3.64889
102.75,3.55905
103,3.26051
103.25,3.09169
103.5,2.93579
103.75,2.8542
104,2.70678
104.25,2.61892
104.5,2.09599
104.75,1.92898
105,2.06507
105.25,2.02675
105.5,1.80116
105.75,1.63197
106,1.61877
106.25,1.61853
106.5,1.6118
106.75,1.54952
107,1.46966
107.25,1.34384
107.5,0.984368
107.75,0.963306
108,0.957384
108.25,0.953857
108.5,0.818443
108.75,0.815984
109,0.815348
109.25,0.789128
109.5,0.776637
109.75,0.766554
110,0.737115
110.25,0.665725
110.5,0.655152
110.75,0.625944
111,0.629084
111.25,0.668674
111.5,0.645091
111.75,0.39975
112,0.361996
112.25,0.318055
112.5,0.318013
112.75,0.318013
113,0.34111
113.25,0.245407
113.5,0.20182
113.75,0.200362
114,0.200304
114.25,0.213007
114.5,0.212961
114.75,0.217287
115,0.216602
115.25,0.216601
115.5,0.17856
115.75,0.178856
116,0.175832
116.25,0.167414
116.5,0.167414
116.75,0.167414
117,0.167457
117.25,0.12927
117.5,0.0881049
117.75,0.0881049
118,0.0838815
118.25,0.0838815
118.5,0.0846216
118.75,0.0849824
119,0.0849824
119.25,0.0848528
119.5,0.0848742
119.75,0.0826171
