Time,susceptible_lambda
68.75,1274.78
69,1257.8
69.25,1187.77
69.5,1134.72
69.75,1062.99
70,1074.63
70.25,1067.83
70.5,1009.29
70.75,924.176
71,869.582
71.25,811.279
71.5,805.943
71.75,793.27
72,743.93
72.25,711.331
72.5,708.441
72.75,678.549
73,637.454
73.25,625.488
73.5,567.607
73.75,569.186
74,550.317
74.25,537.515
74.5,519.09
74.75,530.263
75,518.86
75.25,468.027
75.5,442.164
75.75,416.754
76,409.714
76.25,425.526
76.5,368.31
76.75,339.804
77,346.888
77.25,332.904
77.5,329.8
77.75,301.302
78,319.552
78.25,281.521
78.5,284.341
78.75,277.319
79,275.864
79.25,226.792
79.5,234.632
79.75,236.333
80,217.461
80.25,195.246
80.5,228.712
80.75,191.594
81,187.14
81.25,180.93
81.5,168.288
81.75,151.15
82,136.459
82.25,148.283
82.5,167.438
82.75,174.871
83,160.661
83.25,141.733
83.5,124.097
83.75,114.871
84,114.078
84.25,99.9245
84.5,98.6054
84.75,103.8
85,98.4577
85.25,84.0326
85.5,82.0731
85.75,76.6017
86,75.5844
86.25,70.498
86.5,80.5281
86.75,75.8533
87,81.0635
87.25,71.3091
87.5,71.9521
87.75,69.7642
88,66.7324
88.25,65.3386
88.5,67.4193
88.75,57.1591
89,56.7839
89.25,53.3887
89.5,48.6858
89.75,48.8226
90,42.2229
90.25,65.4021
90.5,40.6105
90.75,38.2844
91,30.8432
91.25,31.7275
91.5,50.71
91.75,31.8793
92,28.5062
92.25,31.5518
92.5,31.0774
92.75,30.1243
93,26.2106
93.25,25.356
93.5,18.8777
93.75,16.725
94,18.4184
94.25,18.124
94.5,15.7703
94.75,15.3338
95,15.7602
95.25,13.9544
95.5,18.614
95.75,16.8537
96,21.4277
96.25,18.9874
96.5,21.4422
96.75,21.4781
97,31.0626
97.25,24.4389
97.5,20.2814
97.75,13.7628
98,11.3351
98.25,9.4368
98.5,8.46102
98.75,8.06263
99,15.9586
99.25,9.37281
99.5,8.97934
99.75,6.53675
100,6.1638
100.25,6.4934
100.5,6.57926
100.75,6.20314
101,6.12811
101.25,5.54401
101.5,5.19245
101.75,4.94405
102,5.00235
102.25,4.8237
102.5,5.53181
102.75,4.82862
103,4.52906
103.25,3.71462
103.5,3.53841
103.75,3.45735
104,3.29847
104.25,6.35282
104.5,5.32113
104.75,3.72165
105,3.84771
105.25,3.79591
105.5,4.6824
105.75,3.92363
106,3.91833
106.25,2.25153
106.5,2.2448
106.75,2.23742
107,2.15596
107.25,2.02989
107.5,1.47851
107.75,1.45745
108,1.45152
108.25,1.49049
108.5,1.2278
108.75,1.22208
109,1.22145
109.25,1.19523
109.5,1.15697
109.75,1.14689
110,1.11745
110.25,1.04606
110.5,1.58502
110.75,1.72117
111,1.72431
111.25,1.74018
111.5,1.48535
111.75,1.78566
112,1.18601
112.25,0.695811
112.5,0.73222
112.75,0.73222
113,2.43838
113.25,0.655408
113.5,0.611821
113.75,0.50101
114,0.500938
114.25,0.512054
114.5,0.491309
114.75,0.495635
115,0.480006
115.25,0.480005
115.5,0.441964
115.75,0.442259
116,0.428191
116.25,0.363582
116.5,0.363582
116.75,0.363582
117,0.363625
117.25,0.325438
117.5,0.228082
117.75,0.228082
118,0.144385
118.25,0.144385
118.5,0.145125
118.75,0.143293
119,0.143293
119.25,0.143163
119.5,0.143185
119.75,0.140928
