Time,num_hospitalised
82.25,1103
82.5,1065
82.75,1025
83,990
83.25,960
83.5,936
83.75,907
84,879
84.25,856
84.5,825
84.75,797
85,766
85.25,735
85.5,721
85.75,682
86,659
86.25,636
86.5,615
86.75,589
87,558
87.25,530
87.5,505
87.75,493
88,474
88.25,462
88.5,444
88.75,422
89,404
89.25,387
89.5,378
89.75,361
90,354
90.25,339
90.5,325
90.75,314
91,296
91.25,282
91.5,272
91.75,267
92,254
92.25,241
92.5,231
92.75,224
93,214
93.25,210
93.5,198
93.75,191
94,185
94.25,182
94.5,182
94.75,174
95,174
95.25,167
95.5,162
95.75,156
96,155
96.25,149
96.5,141
96.75,137
97,128
97.25,123
97.5,119
97.75,115
98,110
98.25,109
98.5,99
98.75,93
99,90
99.25,86
99.5,83
99.75,80
100,79
100.25,78
100.5,74
100.75,68
101,72
101.25,69
101.5,66
101.75,67
102,64
102.25,57
102.5,49
102.75,50
103,48
103.25,48
103.5,46
103.75,44
104,43
104.25,41
104.5,39
104.75,38
105,36
105.25,35
105.5,33
105.75,33
106,33
106.25,31
106.5,31
106.75,30
107,28
107.25,27
107.5,24
107.75,22
108,21
108.25,20
108.5,20
108.75,21
109,17
109.25,17
109.5,16
109.75,15
110,14
110.25,15
110.5,15
110.75,12
111,12
111.25,11
111.5,10
111.75,10
112,9
112.25,9
112.5,9
112.75,9
113,9
113.25,9
113.5,9
113.75,8
114,6
114.25,6
114.5,6
114.75,6
115,6
115.25,6
115.5,7
115.75,7
116,7
116.25,7
116.5,6
116.75,5
117,5
117.25,5
117.5,5
117.75,4
118,5
118.25,4
118.5,4
118.75,4
119,4
119.25,4
119.5,4
119.75,4
