Time,cumulative_new_deaths
86.25,31754
86.5,31754
86.75,31754
87,31812
87.25,31812
87.5,31812
87.75,31812
88,31855
88.25,31855
88.5,31855
88.75,31855
89,31908
89.25,31908
89.5,31908
89.75,31908
90,31948
90.25,31948
90.5,31948
90.75,31948
91,31987
91.25,31987
91.5,31987
91.75,31987
92,32012
92.25,32012
92.5,32012
92.75,32012
93,32030
93.25,32030
93.5,32030
93.75,32030
94,32044
94.25,32044
94.5,32044
94.75,32044
95,32060
95.25,32060
95.5,32060
95.75,32060
96,32073
96.25,32073
96.5,32073
96.75,32073
97,32086
97.25,32086
97.5,32086
97.75,32086
98,32098
98.25,32098
98.5,32098
98.75,32098
99,32110
99.25,32110
99.5,32110
99.75,32110
100,32116
100.25,32116
100.5,32116
100.75,32116
101,32123
101.25,32123
101.5,32123
101.75,32123
102,32127
102.25,32127
102.5,32127
102.75,32127
103,32134
103.25,32134
103.5,32134
103.75,32134
104,32138
104.25,32138
104.5,32138
104.75,32138
105,32138
105.25,32138
105.5,32138
105.75,32138
106,32145
106.25,32145
106.5,32145
106.75,32145
107,32152
107.25,32152
107.5,32152
107.75,32152
108,32156
108.25,32156
108.5,32156
108.75,32156
109,32157
109.25,32157
109.5,32157
109.75,32157
110,32159
110.25,32159
110.5,32159
110.75,32159
111,32163
111.25,32163
111.5,32163
111.75,32163
112,32163
112.25,32163
112.5,32163
112.75,32163
113,32164
113.25,32164
113.5,32164
113.75,32164
114,32165
114.25,32165
114.5,32165
114.75,32165
115,32166
115.25,32166
115.5,32166
115.75,32166
116,32168
116.25,32168
116.5,32168
116.75,32168
117,32169
117.25,32169
117.5,32169
117.75,32169
118,32171
118.25,32171
118.5,32171
118.75,32171
119,32172
119.25,32172
119.5,32172
119.75,32172
