Time,num_exposed
54.5,114932
54.75,110120
55,105459
55.25,101067
55.5,97149
55.75,93068
56,89241
56.25,85431
56.5,81841
56.75,78428
57,75205
57.25,72184
57.5,69071
57.75,66292
58,63685
58.25,61037
58.5,58549
58.75,56236
59,53933
59.25,51741
59.5,49631
59.75,47641
60,45590
60.25,43658
60.5,41849
60.75,40244
61,38602
61.25,37031
61.5,35532
61.75,34098
62,32668
62.25,31383
62.5,30114
62.75,28892
63,27797
63.25,26704
63.5,25641
63.75,24597
64,23629
64.25,22635
64.5,21753
64.75,20861
65,20109
65.25,19367
65.5,18553
65.75,17823
66,17124
66.25,16465
66.5,15860
66.75,15234
67,14694
67.25,14098
67.5,13502
67.75,12940
68,12414
68.25,11950
68.5,11443
68.75,11009
69,10565
69.25,10148
69.5,9760
69.75,9395
70,9072
70.25,8669
70.5,8341
70.75,8053
71,7699
71.25,7386
71.5,7063
71.75,6796
72,6522
72.25,6285
72.5,6043
72.75,5801
73,5571
73.25,5391
73.5,5160
73.75,4924
74,4719
74.25,4547
74.5,4411
74.75,4232
75,4085
75.25,3926
75.5,3771
75.75,3634
76,3491
76.25,3370
76.5,3246
76.75,3132
77,2992
77.25,2891
77.5,2768
77.75,2636
78,2534
78.25,2433
78.5,2331
78.75,2235
79,2137
79.25,2062
79.5,1975
79.75,1906
80,1850
80.25,1781
80.5,1712
80.75,1650
81,1598
81.25,1563
81.5,1497
81.75,1442
82,1382
82.25,1305
82.5,1236
82.75,1205
83,1163
83.25,1140
83.5,1089
83.75,1043
84,1001
84.25,950
84.5,901
84.75,864
85,831
85.25,797
85.5,769
85.75,734
86,704
86.25,672
86.5,650
86.75,636
87,625
87.25,601
87.5,592
87.75,568
88,543
88.25,522
88.5,496
88.75,484
89,468
89.25,454
89.5,435
89.75,409
90,396
90.25,386
90.5,377
90.75,369
91,354
91.25,330
91.5,316
91.75,308
92,297
92.25,274
92.5,266
92.75,245
93,231
93.25,226
93.5,227
93.75,214
94,202
94.25,191
94.5,185
94.75,182
95,173
95.25,165
95.5,156
95.75,149
96,140
96.25,136
96.5,131
96.75,122
97,124
97.25,126
97.5,124
97.75,122
98,122
98.25,122
98.5,121
98.75,116
99,105
99.25,104
99.5,99
99.75,97
100,95
100.25,92
100.5,86
100.75,82
101,81
101.25,79
101.5,76
101.75,69
102,63
102.25,57
102.5,55
102.75,54
103,52
103.25,52
103.5,51
103.75,52
104,50
104.25,45
104.5,47
104.75,44
105,43
105.25,41
105.5,39
105.75,39
106,38
106.25,34
106.5,34
106.75,33
107,32
107.25,29
107.5,29
107.75,31
108,32
108.25,31
108.5,32
108.75,31
109,29
109.25,28
109.5,28
109.75,28
110,26
110.25,25
110.5,21
110.75,18
111,16
111.25,15
111.5,13
111.75,11
112,8
112.25,9
112.5,9
112.75,6
113,6
113.25,8
113.5,8
113.75,8
114,8
114.25,8
114.5,7
114.75,7
115,6
115.25,4
115.5,4
115.75,4
116,4
116.25,5
116.5,5
116.75,5
117,5
117.25,5
117.5,6
117.75,6
118,7
118.25,6
118.5,5
118.75,5
119,5
119.25,6
119.5,5
119.75,4
