Time,cumulative_mean_fraction_lambda_W
61.25,0.403013
61.5,0.402984
61.75,0.402956
62,0.402929
62.25,0.402902
62.5,0.402875
62.75,0.402851
63,0.402827
63.25,0.402804
63.5,0.402782
63.75,0.402761
64,0.402742
64.25,0.402722
64.5,0.402704
64.75,0.402687
65,0.40267
65.25,0.402652
65.5,0.402637
65.75,0.402623
66,0.402609
66.25,0.402595
66.5,0.402581
66.75,0.402568
67,0.402556
67.25,0.402544
67.5,0.402533
67.75,0.402521
68,0.402511
68.25,0.402499
68.5,0.402489
68.75,0.40248
69,0.402469
69.25,0.402461
69.5,0.402452
69.75,0.402443
70,0.402435
70.25,0.402428
70.5,0.402421
70.75,0.402414
71,0.402408
71.25,0.402401
71.5,0.402395
71.75,0.402389
72,0.402384
72.25,0.402378
72.5,0.402372
72.75,0.402368
73,0.402363
73.25,0.402357
73.5,0.402353
73.75,0.402349
74,0.402345
74.25,0.402341
74.5,0.402337
74.75,0.402333
75,0.402329
75.25,0.402325
75.5,0.402322
75.75,0.402319
76,0.402316
76.25,0.402313
76.5,0.40231
76.75,0.402307
77,0.402305
77.25,0.402302
77.5,0.402299
77.75,0.402297
78,0.402294
78.25,0.402292
78.5,0.40229
78.75,0.402289
79,0.402286
79.25,0.402284
79.5,0.402282
79.75,0.40228
80,0.402278
80.25,0.402277
80.5,0.402275
80.75,0.402273
81,0.402272
81.25,0.40227
81.5,0.402269
81.75,0.402267
82,0.402266
82.25,0.402265
82.5,0.402264
82.75,0.402263
83,0.402262
83.25,0.402261
83.5,0.40226
83.75,0.402259
84,0.402258
84.25,0.402257
84.5,0.402257
84.75,0.402256
85,0.402255
85.25,0.402255
85.5,0.402254
85.75,0.402253
86,0.402253
86.25,0.402253
86.5,0.402252
86.75,0.402251
87,0.402251
87.25,0.40225
87.5,0.402249
87.75,0.402249
88,0.402249
88.25,0.402248
88.5,0.402248
88.75,0.402247
89,0.402247
89.25,0.402246
89.5,0.402246
89.75,0.402246
90,0.402245
90.25,0.402245
90.5,0.402245
90.75,0.402244
91,0.402244
91.25,0.402244
91.5,0.402244
91.75,0.402243
92,0.402243
92.25,0.402243
92.5,0.402243
92.75,0.402242
93,0.402242
93.25,0.402242
93.5,0.402242
93.75,0.402241
94,0.402241
94.25,0.402241
94.5,0.402241
94.75,0.402241
95,0.402241
95.25,0.402241
95.5,0.40224
95.75,0.40224
96,0.40224
96.25,0.40224
96.5,0.40224
96.75,0.40224
97,0.40224
97.25,0.402239
97.5,0.402239
97.75,0.402239
98,0.402239
98.25,0.402239
98.5,0.402239
98.75,0.402238
99,0.402238
99.25,0.402238
99.5,0.402238
99.75,0.402238
100,0.402238
100.25,0.402238
100.5,0.402238
100.75,0.402238
101,0.402238
101.25,0.402238
101.5,0.402238
101.75,0.402238
102,0.402238
102.25,0.402238
102.5,0.402238
102.75,0.402238
103,0.402238
103.25,0.402237
103.5,0.402237
103.75,0.402237
104,0.402237
104.25,0.402237
104.5,0.402237
104.75,0.402237
105,0.402237
105.25,0.402237
105.5,0.402237
105.75,0.402237
106,0.402237
106.25,0.402237
106.5,0.402237
106.75,0.402237
107,0.402237
107.25,0.402237
107.5,0.402237
107.75,0.402237
108,0.402237
108.25,0.402237
108.5,0.402237
108.75,0.402237
109,0.402237
109.25,0.402237
109.5,0.402237
109.75,0.402237
110,0.402237
110.25,0.402237
110.5,0.402237
110.75,0.402237
111,0.402237
111.25,0.402237
111.5,0.402237
111.75,0.402237
112,0.402237
112.25,0.402237
112.5,0.402237
112.75,0.402237
113,0.402237
113.25,0.402236
113.5,0.402236
113.75,0.402236
114,0.402236
114.25,0.402236
114.5,0.402236
114.75,0.402236
115,0.402236
115.25,0.402236
115.5,0.402236
115.75,0.402236
116,0.402236
116.25,0.402236
116.5,0.402236
116.75,0.402236
117,0.402236
117.25,0.402236
117.5,0.402236
117.75,0.402236
118,0.402236
118.25,0.402236
118.5,0.402236
118.75,0.402236
119,0.402236
119.25,0.402236
119.5,0.402236
119.75,0.402236
