Time,cumulative_mean_fraction_lambda_C
61.25,0.271033
61.5,0.271056
61.75,0.27108
62,0.271103
62.25,0.271127
62.5,0.271149
62.75,0.27117
63,0.271189
63.25,0.271211
63.5,0.27123
63.75,0.271246
64,0.271264
64.25,0.27128
64.5,0.271297
64.75,0.271311
65,0.271325
65.25,0.271339
65.5,0.271352
65.75,0.271365
66,0.271378
66.25,0.27139
66.5,0.271404
66.75,0.271415
67,0.271425
67.25,0.271435
67.5,0.271445
67.75,0.271455
68,0.271464
68.25,0.271473
68.5,0.271482
68.75,0.271491
69,0.2715
69.25,0.271508
69.5,0.271517
69.75,0.271524
70,0.271532
70.25,0.271537
70.5,0.271544
70.75,0.271551
71,0.271556
71.25,0.271562
71.5,0.271567
71.75,0.271573
72,0.271577
72.25,0.271583
72.5,0.271589
72.75,0.271592
73,0.271596
73.25,0.271601
73.5,0.271605
73.75,0.271609
74,0.271612
74.25,0.271616
74.5,0.27162
74.75,0.271623
75,0.271628
75.25,0.27163
75.5,0.271632
75.75,0.271636
76,0.271639
76.25,0.271641
76.5,0.271643
76.75,0.271646
77,0.271648
77.25,0.27165
77.5,0.271652
77.75,0.271655
78,0.271657
78.25,0.271659
78.5,0.27166
78.75,0.271662
79,0.271664
79.25,0.271666
79.5,0.271667
79.75,0.271668
80,0.27167
80.25,0.271671
80.5,0.271673
80.75,0.271675
81,0.271676
81.25,0.271677
81.5,0.271678
81.75,0.271679
82,0.27168
82.25,0.271681
82.5,0.271682
82.75,0.271683
83,0.271684
83.25,0.271685
83.5,0.271686
83.75,0.271687
84,0.271688
84.25,0.271689
84.5,0.27169
84.75,0.27169
85,0.271691
85.25,0.271691
85.5,0.271692
85.75,0.271692
86,0.271693
86.25,0.271693
86.5,0.271694
86.75,0.271695
87,0.271695
87.25,0.271695
87.5,0.271696
87.75,0.271696
88,0.271697
88.25,0.271697
88.5,0.271698
88.75,0.271698
89,0.271698
89.25,0.271699
89.5,0.271699
89.75,0.271699
90,0.271699
90.25,0.2717
90.5,0.2717
90.75,0.2717
91,0.2717
91.25,0.271701
91.5,0.271701
91.75,0.271701
92,0.271701
92.25,0.271702
92.5,0.271702
92.75,0.271702
93,0.271702
93.25,0.271702
93.5,0.271702
93.75,0.271703
94,0.271703
94.25,0.271703
94.5,0.271703
94.75,0.271704
95,0.271704
95.25,0.271704
95.5,0.271704
95.75,0.271704
96,0.271704
96.25,0.271704
96.5,0.271704
96.75,0.271704
97,0.271705
97.25,0.271705
97.5,0.271705
97.75,0.271705
98,0.271705
98.25,0.271705
98.5,0.271705
98.75,0.271705
99,0.271705
99.25,0.271705
99.5,0.271705
99.75,0.271705
100,0.271705
100.25,0.271705
100.5,0.271706
100.75,0.271706
101,0.271706
101.25,0.271706
101.5,0.271706
101.75,0.271706
102,0.271706
102.25,0.271706
102.5,0.271706
102.75,0.271706
103,0.271706
103.25,0.271706
103.5,0.271706
103.75,0.271706
104,0.271706
104.25,0.271706
104.5,0.271706
104.75,0.271706
105,0.271706
105.25,0.271707
105.5,0.271707
105.75,0.271707
106,0.271707
106.25,0.271707
106.5,0.271707
106.75,0.271707
107,0.271707
107.25,0.271707
107.5,0.271707
107.75,0.271707
108,0.271707
108.25,0.271707
108.5,0.271707
108.75,0.271707
109,0.271707
109.25,0.271707
109.5,0.271707
109.75,0.271707
110,0.271707
110.25,0.271707
110.5,0.271707
110.75,0.271707
111,0.271707
111.25,0.271707
111.5,0.271707
111.75,0.271707
112,0.271707
112.25,0.271707
112.5,0.271707
112.75,0.271707
113,0.271707
113.25,0.271707
113.5,0.271707
113.75,0.271707
114,0.271707
114.25,0.271707
114.5,0.271707
114.75,0.271707
115,0.271707
115.25,0.271707
115.5,0.271707
115.75,0.271707
116,0.271707
116.25,0.271707
116.5,0.271707
116.75,0.271707
117,0.271707
117.25,0.271707
117.5,0.271707
117.75,0.271707
118,0.271707
118.25,0.271707
118.5,0.271707
118.75,0.271707
119,0.271707
119.25,0.271707
119.5,0.271707
119.75,0.271707
