Time,num_symptomatic
77.75,11202
78,10809
78.25,10407
78.5,10026
78.75,9649
79,9262
79.25,8899
79.5,8546
79.75,8217
80,7904
80.25,7609
80.5,7314
80.75,7030
81,6770
81.25,6515
81.5,6316
81.75,6084
82,5838
82.25,5621
82.5,5441
82.75,5216
83,5007
83.25,4822
83.5,4622
83.75,4448
84,4247
84.25,4106
84.5,3934
84.75,3777
85,3624
85.25,3487
85.5,3359
85.75,3219
86,3089
86.25,2967
86.5,2857
86.75,2739
87,2644
87.25,2526
87.5,2433
87.75,2347
88,2263
88.25,2170
88.5,2100
88.75,2038
89,1950
89.25,1878
89.5,1809
89.75,1731
90,1654
90.25,1605
90.5,1540
90.75,1481
91,1431
91.25,1366
91.5,1308
91.75,1272
92,1222
92.25,1179
92.5,1133
92.75,1094
93,1049
93.25,1007
93.5,964
93.75,925
94,883
94.25,845
94.5,818
94.75,790
95,757
95.25,728
95.5,692
95.75,660
96,630
96.25,611
96.5,587
96.75,559
97,543
97.25,527
97.5,506
97.75,489
98,473
98.25,454
98.5,431
98.75,422
99,407
99.25,397
99.5,379
99.75,369
100,350
100.25,346
100.5,327
100.75,317
101,300
101.25,282
101.5,271
101.75,256
102,251
102.25,250
102.5,244
102.75,230
103,224
103.25,212
103.5,200
103.75,192
104,181
104.25,170
104.5,167
104.75,161
105,150
105.25,139
105.5,137
105.75,136
106,126
106.25,119
106.5,116
106.75,108
107,100
107.25,98
107.5,91
107.75,89
108,87
108.25,85
108.5,80
108.75,78
109,75
109.25,73
109.5,67
109.75,66
110,62
110.25,59
110.5,54
110.75,49
111,51
111.25,50
111.5,47
111.75,48
112,47
112.25,45
112.5,45
112.75,45
113,43
113.25,41
113.5,38
113.75,36
114,35
114.25,34
114.5,32
114.75,32
115,30
115.25,29
115.5,27
115.75,28
116,24
116.25,23
116.5,23
116.75,24
117,24
117.25,23
117.5,20
117.75,20
118,19
118.25,19
118.5,20
118.75,19
119,19
119.25,19
119.5,19
119.75,16
