Time,cumulative_new_recovered
73,11696086
73.25,11696086
73.5,11696086
73.75,11696086
74,11701936
74.25,11701936
74.5,11701936
74.75,11701936
75,11706869
75.25,11706869
75.5,11706869
75.75,11706869
76,11711212
76.25,11711212
76.5,11711212
76.75,11711212
77,11714858
77.25,11714858
77.5,11714858
77.75,11714858
78,11717916
78.25,11717916
78.5,11717916
78.75,11717916
79,11720601
79.25,11720601
79.5,11720601
79.75,11720601
80,11722971
80.25,11722971
80.5,11722971
80.75,11722971
81,11724951
81.25,11724951
81.5,11724951
81.75,11724951
82,11726571
82.25,11726571
82.5,11726571
82.75,11726571
83,11728073
83.25,11728073
83.5,11728073
83.75,11728073
84,11729316
84.25,11729316
84.5,11729316
84.75,11729316
85,11730444
85.25,11730444
85.5,11730444
85.75,11730444
86,11731379
86.25,11731379
86.5,11731379
86.75,11731379
87,11732164
87.25,11732164
87.5,11732164
87.75,11732164
88,11732805
88.25,11732805
88.5,11732805
88.75,11732805
89,11733351
89.25,11733351
89.5,11733351
89.75,11733351
90,11733859
90.25,11733859
90.5,11733859
90.75,11733859
91,11734260
91.25,11734260
91.5,11734260
91.75,11734260
92,11734615
92.25,11734615
92.5,11734615
92.75,11734615
93,11734932
93.25,11734932
93.5,11734932
93.75,11734932
94,11735224
94.25,11735224
94.5,11735224
94.75,11735224
95,11735447
95.25,11735447
95.5,11735447
95.75,11735447
96,11735656
96.25,11735656
96.5,11735656
96.75,11735656
97,11735833
97.25,11735833
97.5,11735833
97.75,11735833
98,11735955
98.25,11735955
98.5,11735955
98.75,11735955
99,11736076
99.25,11736076
99.5,11736076
99.75,11736076
100,11736183
100.25,11736183
100.5,11736183
100.75,11736183
101,11736265
101.25,11736265
101.5,11736265
101.75,11736265
102,11736345
102.25,11736345
102.5,11736345
102.75,11736345
103,11736411
103.25,11736411
103.5,11736411
103.75,11736411
104,11736467
104.25,11736467
104.5,11736467
104.75,11736467
105,11736517
105.25,11736517
105.5,11736517
105.75,11736517
106,11736558
106.25,11736558
106.5,11736558
106.75,11736558
107,11736599
107.25,11736599
107.5,11736599
107.75,11736599
108,11736631
108.25,11736631
108.5,11736631
108.75,11736631
109,11736646
109.25,11736646
109.5,11736646
109.75,11736646
110,11736666
110.25,11736666
110.5,11736666
110.75,11736666
111,11736691
111.25,11736691
111.5,11736691
111.75,11736691
112,11736707
112.25,11736707
112.5,11736707
112.75,11736707
113,11736720
113.25,11736720
113.5,11736720
113.75,11736720
114,11736735
114.25,11736735
114.5,11736735
114.75,11736735
115,11736741
115.25,11736741
115.5,11736741
115.75,11736741
116,11736747
116.25,11736747
116.5,11736747
116.75,11736747
117,11736754
117.25,11736754
117.5,11736754
117.75,11736754
118,11736760
118.25,11736760
118.5,11736760
118.75,11736760
119,11736762
119.25,11736762
119.5,11736762
119.75,11736762
