Time,total_detected_cases
73.75,6349701
74,6350520
74.25,6351318
74.5,6352076
74.75,6352841
75,6353562
75.25,6354267
75.5,6354945
75.75,6355589
76,6356179
76.25,6356785
76.5,6357333
76.75,6357862
77,6358359
77.25,6358841
77.5,6359292
77.75,6359808
78,6360234
78.25,6360664
78.5,6361076
78.75,6361484
79,6361877
79.25,6362269
79.5,6362663
79.75,6363006
80,6363342
80.25,6363640
80.5,6363938
80.75,6364239
81,6364514
81.25,6364766
81.5,6364997
81.75,6365241
82,6365494
82.25,6365716
82.5,6365923
82.75,6366166
83,6366377
83.25,6366566
83.5,6366773
83.75,6366965
84,6367161
84.25,6367331
84.5,6367507
84.75,6367679
85,6367833
85.25,6367977
85.5,6368114
85.75,6368251
86,6368379
86.25,6368509
86.5,6368621
86.75,6368753
87,6368844
87.25,6368959
87.5,6369051
87.75,6369133
88,6369216
88.25,6369314
88.5,6369384
88.75,6369464
89,6369554
89.25,6369624
89.5,6369693
89.75,6369779
90,6369850
90.25,6369902
90.5,6369970
90.75,6370035
91,6370095
91.25,6370153
91.5,6370207
91.75,6370245
92,6370301
92.25,6370345
92.5,6370399
92.75,6370441
93,6370488
93.25,6370533
93.5,6370575
93.75,6370617
94,6370657
94.25,6370699
94.5,6370732
94.75,6370761
95,6370790
95.25,6370822
95.5,6370861
95.75,6370891
96,6370921
96.25,6370946
96.5,6370971
96.75,6371001
97,6371017
97.25,6371032
97.5,6371055
97.75,6371071
98,6371090
98.25,6371103
98.5,6371123
98.75,6371134
99,6371151
99.25,6371167
99.5,6371188
99.75,6371201
100,6371219
100.25,6371226
100.5,6371241
100.75,6371247
101,6371265
101.25,6371282
101.5,6371292
101.75,6371308
102,6371317
102.25,6371324
102.5,6371333
102.75,6371345
103,6371351
103.25,6371361
103.5,6371374
103.75,6371380
104,6371393
104.25,6371405
104.5,6371410
104.75,6371416
105,6371424
105.25,6371435
105.5,6371436
105.75,6371438
106,6371446
106.25,6371452
106.5,6371455
106.75,6371459
107,6371467
107.25,6371470
107.5,6371476
107.75,6371478
108,6371481
108.25,6371483
108.5,6371486
108.75,6371487
109,6371490
109.25,6371492
109.5,6371498
109.75,6371500
110,6371502
110.25,6371505
110.5,6371509
110.75,6371513
111,6371513
111.25,6371516
111.5,6371519
111.75,6371520
112,6371525
112.25,6371529
112.5,6371530
112.75,6371530
113,6371533
113.25,6371534
113.5,6371537
113.75,6371538
114,6371540
114.25,6371541
114.5,6371543
114.75,6371543
115,6371545
115.25,6371546
115.5,6371549
115.75,6371549
116,6371553
116.25,6371554
116.5,6371554
116.75,6371554
117,6371554
117.25,6371555
117.5,6371557
117.75,6371557
118,6371558
118.25,6371558
118.5,6371558
118.75,6371559
119,6371559
119.25,6371560
119.5,6371560
119.75,6371563
