Time,cumulative_new_presymptomatic
72.5,11757359
72.75,11757359
73,11759039
73.25,11759039
73.5,11759039
73.75,11759039
74,11760500
74.25,11760500
74.5,11760500
74.75,11760500
75,11761693
75.25,11761693
75.5,11761693
75.75,11761693
76,11762762
76.25,11762762
76.5,11762762
76.75,11762762
77,11763643
77.25,11763643
77.5,11763643
77.75,11763643
78,11764447
78.25,11764447
78.5,11764447
78.75,11764447
79,11765118
79.25,11765118
79.5,11765118
79.75,11765118
80,11765708
80.25,11765708
80.5,11765708
80.75,11765708
81,11766176
81.25,11766176
81.5,11766176
81.75,11766176
82,11766574
82.25,11766574
82.5,11766574
82.75,11766574
83,11766933
83.25,11766933
83.5,11766933
83.75,11766933
84,11767232
84.25,11767232
84.5,11767232
84.75,11767232
85,11767506
85.25,11767506
85.5,11767506
85.75,11767506
86,11767717
86.25,11767717
86.5,11767717
86.75,11767717
87,11767874
87.25,11767874
87.5,11767874
87.75,11767874
88,11768015
88.25,11768015
88.5,11768015
88.75,11768015
89,11768156
89.25,11768156
89.5,11768156
89.75,11768156
90,11768276
90.25,11768276
90.5,11768276
90.75,11768276
91,11768362
91.25,11768362
91.5,11768362
91.75,11768362
92,11768456
92.25,11768456
92.5,11768456
92.75,11768456
93,11768544
93.25,11768544
93.5,11768544
93.75,11768544
94,11768605
94.25,11768605
94.5,11768605
94.75,11768605
95,11768658
95.25,11768658
95.5,11768658
95.75,11768658
96,11768701
96.25,11768701
96.5,11768701
96.75,11768701
97,11768745
97.25,11768745
97.5,11768745
97.75,11768745
98,11768770
98.25,11768770
98.5,11768770
98.75,11768770
99,11768793
99.25,11768793
99.5,11768793
99.75,11768793
100,11768822
100.25,11768822
100.5,11768822
100.75,11768822
101,11768841
101.25,11768841
101.5,11768841
101.75,11768841
102,11768858
102.25,11768858
102.5,11768858
102.75,11768858
103,11768879
103.25,11768879
103.5,11768879
103.75,11768879
104,11768888
104.25,11768888
104.5,11768888
104.75,11768888
105,11768900
105.25,11768900
105.5,11768900
105.75,11768900
106,11768909
106.25,11768909
106.5,11768909
106.75,11768909
107,11768919
107.25,11768919
107.5,11768919
107.75,11768919
108,11768924
108.25,11768924
108.5,11768924
108.75,11768924
109,11768927
109.25,11768927
109.5,11768927
109.75,11768927
110,11768930
110.25,11768930
110.5,11768930
110.75,11768930
111,11768940
111.25,11768940
111.5,11768940
111.75,11768940
112,11768949
112.25,11768949
112.5,11768949
112.75,11768949
113,11768956
113.25,11768956
113.5,11768956
113.75,11768956
114,11768956
114.25,11768956
114.5,11768956
114.75,11768956
115,11768957
115.25,11768957
115.5,11768957
115.75,11768957
116,11768960
116.25,11768960
116.5,11768960
116.75,11768960
117,11768960
117.25,11768960
117.5,11768960
117.75,11768960
118,11768960
118.25,11768960
118.5,11768960
118.75,11768960
119,11768962
119.25,11768962
119.5,11768962
119.75,11768962
