Time,mean_fraction_lambda_C
61.5,0.553373
61.75,0.567324
62,0.590451
62.25,0.595543
62.5,0.576533
62.75,0.578384
63,0.570444
63.25,0.62474
63.5,0.573286
63.75,0.557639
64,0.617241
64.25,0.586873
64.5,0.593481
64.75,0.573008
65,0.570412
65.25,0.543947
65.5,0.597554
65.75,0.590874
66,0.61634
66.25,0.585941
66.5,0.606745
66.75,0.591311
67,0.590257
67.25,0.550397
67.5,0.609242
67.75,0.615937
68,0.598131
68.25,0.583897
68.5,0.58643
68.75,0.605004
69,0.620277
69.25,0.595723
69.5,0.634297
69.75,0.55539
70,0.655198
70.25,0.573879
70.5,0.597487
70.75,0.618583
71,0.576462
71.25,0.645969
71.5,0.571142
71.75,0.61816
72,0.576949
72.25,0.636733
72.5,0.65382
72.75,0.555931
73,0.597886
73.25,0.587826
73.5,0.607704
73.75,0.704
74,0.527907
74.25,0.608744
74.5,0.661304
74.75,0.593266
75,0.617077
75.25,0.558579
75.5,0.472136
75.75,0.696485
76,0.605293
76.25,0.518258
76.5,0.581086
76.75,0.578843
77,0.645709
77.25,0.559215
77.5,0.627681
77.75,0.629401
78,0.625615
78.25,0.605116
78.5,0.476903
78.75,0.650435
79,0.618522
79.25,0.540136
79.5,0.526997
79.75,0.53664
80,0.584371
80.25,0.620291
80.5,0.683478
80.75,0.657077
81,0.581791
81.25,0.464775
81.5,0.634428
81.75,0.577273
82,0.526884
82.25,0.666872
82.5,0.767038
82.75,0.583906
83,0.667131
83.25,0.609869
83.5,0.600118
83.75,0.559222
84,0.657407
84.25,0.70778
84.5,0.727349
84.75,0.650382
85,0.430596
85.25,0.500186
85.5,0.684319
85.75,0.633564
86,0.455668
86.25,0.846324
86.5,0.767442
86.75,0.722447
87,0.473806
87.25,0.538879
87.5,0.782638
87.75,0.444582
88,0.692358
88.25,0.473855
88.5,0.600077
88.75,0.466811
89,0.666875
89.25,0.714382
89.5,0.545491
89.75,0.600044
90,0.500073
90.25,0.6668
90.5,0.428584
90.75,0.600078
91,0.400158
91.25,1
91.5,0.62909
91.75,0.54547
92,0.600013
92.25,0.714328
92.5,0.428643
92.75,1
93,0.428591
93.25,0.500044
93.5,0.500061
93.75,0.571445
94,1
94.25,1
94.5,0.500012
94.75,0.714364
95,1
95.25,0.666672
95.5,1
95.75,0.333547
96,0.500014
96.25,0.333465
96.5,0.750001
96.75,0.600007
97,0.857513
97.25,0.250014
97.5,0.400005
97.75,0.400013
98,0.75
98.25,0.666667
98.5,0.66668
98.75,0.750006
99,0
99.25,0.166712
99.5,1
99.75,0.333346
100,1
100.25,0.00092931
100.5,1
100.75,0.000155036
101,1
101.25,0
101.5,1
101.75,1
102,8.20876e-05
102.25,1.01984e-06
102.5,0.500003
102.75,1
103,1
103.25,1
103.5,1
103.75,1
104,0
104.25,0
104.5,0.666667
104.75,3.41802e-06
105,1
105.25,1
105.5,0
105.75,3.35504e-07
106,1
106.25,2.1626e-06
106.5,1
106.75,1
107,0
107.25,0
107.5,2.74341e-05
107.75,1
108,1
108.25,0
108.5,1
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,1
111.25,0
111.5,5.45224e-06
111.75,0
112,1.73782e-07
112.25,1.56749e-06
112.5,0
112.75,0
113,0
113.25,0.5
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,7.39963e-07
116.5,0
116.75,0
117,0
117.25,0
117.5,5.45759e-06
117.75,0
118,1.19181e-06
118.25,0
118.5,0
118.75,0
119,0
119.25,1
119.5,0
119.75,0
