Time,daily_new_exposed
83,27
83.25,68
83.5,103
83.75,137
84,29
84.25,53
84.5,75
84.75,95
85,21
85.25,43
85.5,62
85.75,81
86,11
86.25,24
86.5,41
86.75,59
87,19
87.25,32
87.5,55
87.75,73
88,13
88.25,32
88.5,42
88.75,57
89,15
89.25,29
89.5,40
89.75,45
90,12
90.25,24
90.5,31
90.75,46
91,10
91.25,14
91.5,22
91.75,33
92,5
92.25,12
92.5,19
92.75,25
93,7
93.25,15
93.5,23
93.75,30
94,3
94.25,10
94.5,14
94.75,21
95,3
95.25,6
95.5,7
95.75,10
96,2
96.25,8
96.5,12
96.75,17
97,7
97.25,15
97.5,20
97.75,25
98,4
98.25,7
98.5,13
98.75,17
99,0
99.25,6
99.5,7
99.75,10
100,1
100.25,2
100.5,3
100.75,4
101,1
101.25,1
101.5,3
101.75,4
102,1
102.25,2
102.5,4
102.75,6
103,1
103.25,3
103.5,4
103.75,7
104,0
104.25,0
104.5,3
104.75,4
105,1
105.25,3
105.5,3
105.75,4
106,1
106.25,2
106.5,3
106.75,4
107,0
107.25,0
107.5,1
107.75,3
108,2
108.25,2
108.5,3
108.75,3
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,1
111.25,1
111.5,2
111.75,2
112,1
112.25,2
112.5,2
112.75,2
113,0
113.25,2
113.5,2
113.75,2
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,1
116.5,1
116.75,1
117,0
117.25,0
117.5,1
117.75,1
118,1
118.25,1
118.5,1
118.75,1
119,0
119.25,1
119.5,1
119.75,1
