AC No.,address,households,area(sq km),wardNo,district
54,North of Jamia College Mehboob Nagar P/Ground Okhla ,250,4164,205,South East
54,In the North of Okhla Village Khizarbaba Camp Okhla ,322,1800,205,South East
54,Abul Fazal Enclave Okhla Village Across Canal,218,9200,206,South East
50,Chander Arya Vidya Mandir,306,8310,194,New Delhi
42,Back of Police Colony Andrews Ganj Part-I,586,8798,159,South East
43,Jagdamba Camp Khirki Gaun Near Satpula Nalla.,143,530,162,New Delhi
50,Swami Nagar Near Water Tank Outer Ring Road,127,2500,191,New Delhi
50,Lal Gumbad behind Sadhana Enclave Malviya Nagar,265,6797,191,New Delhi
50,Sh.Ram Bhan Dass Malviya Nagar Corner Mkt.,120,859,191,New Delhi
43,Balmiki Camp Creamation Ground Begum Pur,600,12484,162,New Delhi
43,Indira Camp Begum Pur,522,17213,161,New Delhi
43,Balmiki Camp Navjeewan Vihar Malviya Nagar,16,795,161,New Delhi
54,New Priyanka Camp near Sarita Vihar,762,40000,207,South East
5,At Sanjay Colony Gali No. 9 Samai Pur Badli.,1265,24754,17,North West
5,Railway Phatak No.8 Badli,125,4369,17,North West
5,Balmiki JJ Cluster Samai Pur Badli,188,49306,17,North West
5,Bhagwan Pura,766,11012,17,North West
5,JJ Cluster at Badli Village,879,20075,17,North West
13,At Khaada Basti Suraj Park-B at Bawana Road Samai Pur Badli. ,700,22050,49,North West
13,Suraj Park Samai Pur Badli,1478,36300,49,North West
13,At Industrial Area Badli Phase-II.,467,11200,49,North West
27,JJ Camp F Extension khayala Near O.H.Tank.,1091,18370,108,West
27,F Extension/Outside Boundary Wall of G.G.S. Hospital Khayala ,200,3625,108,West
27,"Back Side of Sanatan Dhram Mandir, Shiv Mandir K-Block, Shyam Nagar",714,22926,108,West
27,Sehkari Bhatta.,136,3297,106,West
27,Opposite Sham Nagar Transit Camp Raghubir Nagar ,1097,25059,106,West
27,E-Block Raghubir Nagar,88,970,106,West
10,HGI Labour Colony Sultanpuri,1187,56924,40,North West
10,Opposite F-7 Sultanpuri,278,4200,40,North West
10,F-7 Sultanpuri,281,1200,40,North West
10,E-6 Block Sultanpuri,191,3500,39,North West
10,D-1 Machhi Chowck Sultanpuri,90,4000,39,North West
10,D-4 Block Sultanpuri,157,6000,39,North West
10,"C-Block, Near Main Bus Stand Sultanpuri.",18,300,37,North West
10,C-10 Sultanpuri (Potters Huts),109,8000,37,North West
10,P-1 Block Sultanpuri,404,10240,38,North West
10,C-7 Block Sultanpuri,156,2800,37,North West
10,"A-2 Block, Sultanpuri.",64,2000,37,North West
10,B-1 Mangal Bazar Sultanpuri,40,500,37,North West
10,Y-Block Mangol Puri,176,2500,38,North West
12,F-Block Mangolpuri,400,5552,47,West
12,G-Block Mangol Puri,267,3181,47,West
12,D-4 Block Mangol Puri,47,1000,46,West
12,X-Block Mangol Puri,108,3500,47,West
