wardNo,wardIndex,ID,wardName,totalPopulation,countyCode,County Employed,Employed
175,174,1491,Ulricehamn,24668,14,791970,11320
176,175,1492,Åmål,12610,14,791970,5786
177,176,1493,Mariestad,24537,14,791970,11260
178,177,1494,Lidköping,40089,14,791970,18396
179,178,1495,Skara,18837,14,791970,8644
180,179,1496,Skövde,56366,14,791970,25865
181,180,1497,Hjo,9210,14,791970,4226
182,181,1498,Tidaholm,12846,14,791970,5895
183,182,1499,Falköping,33246,14,791970,15256
184,183,1715,Kil,12087,17,114452,4898
185,184,1730,Eda,8564,17,114452,3471
186,185,1737,Torsby,11616,17,114452,4708
187,186,1760,Storfors,4014,17,114452,1627
188,187,1761,Hammarö,16568,17,114452,6714
189,188,1762,Munkfors,3740,17,114452,1516
190,189,1763,Forshaga,11499,17,114452,4660
191,190,1764,Grums,9047,17,114452,3666
192,191,1765,Årjäng,10070,17,114452,4081
193,192,1766,Sunne,13306,17,114452,5392
194,193,1780,Karlstad,93898,17,114452,38053
195,194,1781,Kristinehamn,24255,17,114452,9830
196,195,1782,Filipstad,10644,17,114452,4314
197,196,1783,Hagfors,11606,17,114452,4703
198,197,1784,Arvika,26045,17,114452,10555
199,198,1785,Säffle,15455,17,114452,6263
200,199,1814,Lekeberg,8234,18,130311,3520
201,200,1860,Laxå,5683,18,130311,2430
202,201,1861,Hallsberg,15932,18,130311,6811
203,202,1862,Degerfors,9666,18,130311,4132
204,203,1863,Hällefors,7013,18,130311,2998
205,204,1864,Ljusnarsberg,4771,18,130311,2040
206,205,1880,Örebro,155696,18,130311,66564
207,206,1881,Kumla,21738,18,130311,9293
208,207,1882,Askersund,11377,18,130311,4864
209,208,1883,Karlskoga,30381,18,130311,12989
210,209,1884,Nora,10726,18,130311,4586
211,210,1885,Lindesberg,23588,18,130311,10084
212,211,1904,Skinnskatteberg,4393,19,113207,1803
213,212,1907,Surahammar,10106,19,113207,4148
214,213,1960,Kungsör,8675,19,113207,3560
215,214,1961,Hallstahammar,16346,19,113207,6708
216,215,1962,Norberg,5690,19,113207,2335
217,216,1980,Västerås,154049,19,113207,63222
218,217,1981,Sala,22894,19,113207,9396
219,218,1982,Fagersta,13391,19,113207,5496
220,219,1983,Köping,26214,19,113207,10758
221,220,1984,Arboga,14087,19,113207,5781
222,221,2021,Vansbro,6805,20,121125,2862
223,222,2023,Malung-Sälen,10138,20,121125,4264
224,223,2026,Gagnef,10304,20,121125,4334
225,224,2029,Leksand,15807,20,121125,6649
226,225,2031,Rättvik,10950,20,121125,4606
227,226,2034,Orsa,6911,20,121125,2907
228,227,2039,Älvdalen,7031,20,121125,2957
229,228,2061,Smedjebacken,10894,20,121125,4582
230,229,2062,Mora,20470,20,121125,8610
231,230,2080,Falun,59406,20,121125,24988
232,231,2081,Borlänge,52590,20,121125,22121
233,232,2082,Säter,11093,20,121125,4666
234,233,2083,Hedemora,15491,20,121125,6516
235,234,2084,Avesta,23178,20,121125,9749
236,235,2085,Ludvika,26898,20,121125,11314
237,236,2101,Ockelbo,5908,21,118783,2442
238,237,2104,Hofors,9588,21,118783,3963
239,238,2121,Ovanåker,11670,21,118783,4824
240,239,2132,Nordanstig,9477,21,118783,3917
241,240,2161,Ljusdal,18949,21,118783,7832
