wardIndex,wardNo,ntaCode,wardName,Households
59,60,BK43,Midwood,19756
60,61,BK44,Madison,15876
61,62,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,17523
62,63,BK46,Ocean Parkway South,7199
63,64,BK50,Canarsie,29800
64,65,BK58,Flatlands,24682
65,66,BK60,Prospect Lefferts Gardens-Wingate,28089
66,67,BK61,Crown Heights North,46002
67,68,BK63,Crown Heights South,15630
68,69,BK64,Prospect Heights,10271
69,70,BK68,Fort Greene,13108
70,71,BK69,Clinton Hill,17006
71,72,BK72,Williamsburg,8939
72,73,BK73,North Side-South Side,20944
73,74,BK75,Bedford,28254
74,75,BK76,Greenpoint,17302
75,76,BK77,Bushwick North,20718
76,77,BK78,Bushwick South,27577
77,78,BK79,Ocean Hill,13695
78,79,BK81,Brownsville,22293
79,80,BK82,East New York,34953
80,81,BK83,Cypress Hills-City Line,15892
81,82,BK85,East New York (Pennsylvania Ave),10604
82,83,BK88,Borough Park,30704
83,84,BK90,East Williamsburg,15814
84,85,BK91,East Flatbush-Farragut,19507
85,86,BK93,Starrett City,6466
86,87,BK95,Erasmus,11576
87,88,BK96,Rugby-Remsen Village,22301
88,89,BK99,park-cemetery-etc-Brooklyn,181
89,90,MN01,Marble Hill-Inwood,19124
90,91,MN03,Central Harlem North-Polo Grounds,37771
91,92,MN04,Hamilton Heights,20727
92,93,MN06,Manhattanville,8810
93,94,MN09,Morningside Heights,21908
94,95,MN11,Central Harlem South,21560
95,96,MN12,Upper West Side,75158
96,97,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,44737
97,98,MN14,Lincoln Square,39628
98,99,MN15,Clinton,29994
99,100,MN17,Midtown-Midtown South,21396
100,101,MN19,Turtle Bay-East Midtown,36964
101,102,MN20,Murray Hill-Kips Bay,30756
102,103,MN21,Gramercy,17277
103,104,MN22,East Village,24527
104,105,MN23,West Village,42753
105,106,MN24,SoHo-TriBeCa-Civic Center-Little Italy,22289
106,107,MN25,Battery Park City-Lower Manhattan,22827
107,108,MN27,Chinatown,20077
108,109,MN28,Lower East Side,32183
109,110,MN31,Lenox Hill-Roosevelt Island,52158
110,111,MN32,Yorkville,48567
111,112,MN33,East Harlem South,24934
112,113,MN34,East Harlem North,24283
113,114,MN35,Washington Heights North,27031
114,115,MN36,Washington Heights South,30936
115,116,MN40,Upper East Side-Carnegie Hill,37543
116,117,MN50,Stuyvesant Town-Cooper Village,10891
117,118,MN99,park-cemetery-etc-Manhattan,10
118,119,QN01,South Jamaica,13399
119,120,QN02,Springfield Gardens North,10512
120,121,QN03,Springfield Gardens South-Brookville,6040
121,122,QN05,Rosedale,8177
122,123,QN06,Jamaica Estates-Holliswood,9932
123,124,QN07,Hollis,6843
124,125,QN08,St. Albans,16666
125,126,QN10,Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl,13785
126,127,QN12,Hammels-Arverne-Edgemere,13838
127,128,QN15,Far Rockaway-Bayswater,17883
128,129,QN17,Forest Hills,41717
129,130,QN18,Rego Park,12986
130,131,QN19,Glendale,12546
131,132,QN20,Ridgewood,25836
132,133,QN21,Middle Village,16003
133,134,QN22,Flushing,27764
134,135,QN23,College Point,8405
135,136,QN25,Corona,17398
136,137,QN26,North Corona,12554
137,138,QN27,East Elmhurst,6954
138,139,QN28,Jackson Heights,39188
139,140,QN29,Elmhurst,29251
140,141,QN30,Maspeth,11809
141,142,QN31,Hunters Point-Sunnyside-West Maspeth,28710
142,143,QN33,Cambria Heights,6598
143,144,QN34,Queens Village,16826
144,145,QN35,Briarwood-Jamaica Hills,14401
145,146,QN37,Kew Gardens Hills,14374
146,147,QN38,Pomonok-Flushing Heights-Hillcrest,12383
147,148,QN41,Fresh Meadows-Utopia,6946
148,149,QN42,Oakland Gardens,11701
149,150,QN43,Bellerose,8908
150,151,QN44,Glen Oaks-Floral Park-New Hyde Park,9944
151,152,QN45,Douglas Manor-Douglaston-Little Neck,10072
152,153,QN46,Bayside-Bayside Hills,16964
153,154,QN47,Ft. Totten-Bay Terrace-Clearview,10863
154,155,QN48,Auburndale,7562
155,156,QN49,Whitestone,12339
156,157,QN50,Elmhurst-Maspeth,8954
157,158,QN51,Murray Hill,18976
158,159,QN52,East Flushing,9406
159,160,QN53,Woodhaven,18764
160,161,QN54,Richmond Hill,18828
161,162,QN55,South Ozone Park,23370
162,163,QN56,Ozone Park,7474
163,164,QN57,Lindenwood-Howard Beach,11673
164,165,QN60,Kew Gardens,10993
165,166,QN61,Jamaica,16704
166,167,QN62,Queensboro Hill,6792
167,168,QN63,Woodside,17344
168,169,QN66,Laurelton,8501
169,170,QN68,Queensbridge-Ravenswood-Long Island City,7678
170,171,QN70,Astoria,36902
171,172,QN71,Old Astoria,12071
172,173,QN72,Steinway,22399
173,174,QN76,Baisley Park,11643
174,175,QN98,Airport,0
175,176,QN99,park-cemetery-etc-Queens,173
176,177,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,10352
177,178,SI05,New Springville-Bloomfield-Travis,14282
