wardIndex,cityName,NAME3,wardName,wardNo,area(sq km),totalPopulation
138,wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuLiangZiHuFengJingQuBanShiChu,139,3.135277220421813,4319
139,wuhan,HongShanQu,DongHuFengJingQuJieDao(HongShan),140,7.66681711786374,60702
140,wuhan,JiangHanQu,ChangQingJieBanShiChu,141,6.998112542262909,99302
141,wuhan,CaiDianQu,ZhaShanJieBanShiChu,142,29.052185155185885,52585
142,wuhan,HongShanQu,ZhangJiaWanJieDao,143,10.842388875284009,30892
143,wuhan,WuChangQu,JiYuQiaoJieBanShiChu,144,1.140080211503106,68946
144,wuhan,QingShanQu,BeiHuGuanWeiHui,145,37.59270772524544,7071
145,wuhan,HanYangQu,ZhouTouJieBanShiChu,146,5.127899074181946,44447
146,wuhan,JiangXiaQu,WuLongQuanJieBanShiChu,147,231.7098878986529,36043
147,wuhan,CaiDianQu,YuXianZhen,148,35.345969091590476,17621
148,wuhan,XinZhouQu,DaoGuanHeFengJingLvYouGuanLiChu,149,39.05152793024446,5467
149,wuhan,QiaoKouQu,YiJiaDunJieDaoBanShiChu,150,5.462133050275091,99010
150,wuhan,WuChangQu,BaiShaZhouJieBanShiChu,151,2.4832788819817724,87122
151,wuhan,CaiDianQu,TongHuBanShiChu,152,97.74553627082113,2645
152,wuhan,QingShanQu,YeJinJieDaoBanShiChu,153,3.1846416241208217,90164
153,wuhan,JiangXiaQu,DongHuKaiFaQuDaWuChenBanShiChu,154,117.67465221526828,13789
154,wuhan,CaiDianQu,CaiDianJieBanShiChu,155,50.04507489814585,167028
155,wuhan,HongShanQu,WuHanHuaGongQuJianSheXiang,156,29.11748366614347,34068
156,wuhan,CaiDianQu,DaJiJieBanShiChu,157,55.11137180866106,33754
157,wuhan,QiaoKouQu,ChongRenJieDaoBanShiChu,158,1.0031545283742762,41175
158,wuhan,QiaoKouQu,ZongGuanJieDaoBanShiChu,159,1.824679301485821,73890
159,wuhan,HuangBeiQu,WangJiaHeJieDao,160,146.8162179389278,51684
160,wuhan,HanYangQu,WuLiDunJieBanShiChu,161,3.6154699824143255,99832
161,wuhan,WuChangQu,DongHuFengJingQuJieDao(WuChang),162,31.53226428793572,16608
162,wuhan,JiangHanQu,BeiHuJieBanShiChu,163,2.9435208737304683,43167
163,wuhan,QiaoKouQu,HanJiaDunJieDaoBanShiChu,164,3.8902748773786735,107826
164,wuhan,JiangAnQu,XinCunJieBanShiChu,165,1.0032729183420468,78767
165,wuhan,HuangBeiQu,ChangXuanLingJieDao,166,195.20998408312576,36756
166,wuhan,WuChangQu,HuangHeLouJieBanShiChu,167,0.8176666233235941,69616
167,wuhan,HuangBeiQu,CaiJiaZhaJieDao,168,147.797110669915,29977
168,wuhan,QingShanQu,HongWeiLuJieDaoBanShiChu,169,1.003306359055604,94107
169,wuhan,JiangHanQu,MinQuanJieBanShiChu,170,0.8411919202745585,41588
170,wuhan,DongXiHuQu,JingHeJieDaoBanShiChu,171,22.084391555387498,42217
171,wuhan,WuChangQu,YangYuanJieBanShiChu,172,4.18127017674244,125136
172,wuhan,JiangXiaQu,JinShuiBanShiChu,173,123.30558400527788,6214
173,wuhan,JiangXiaQu,WuLiJieJieBanShiChu,174,52.00510929395816,29457
174,wuhan,QingShanQu,QingShanZhenJieDaoBanShiChu,175,10.652574256092116,23763
175,wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuMiaoShanBanShiChu,176,21.779200565592,61628
176,wuhan,JiangAnQu,HuaQiaoJieBanShiChu,177,2.006484977710099,149988
177,wuhan,WuChangQu,ShouYiLuJieBanShiChu,178,3.0098265086899603,79506
178,wuhan,QingShanQu,HongGangChengJieDaoBanShiChu,179,1.003230670937947,43423
179,wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuDaQiaoXinQuBanShiChu,180,70.42492364502293,75534
180,wuhan,HuangBeiQu,HengDianJieDao,181,99.03027346382832,60563
181,wuhan,HuangBeiQu,DaTanBanShiChu,182,50.08177776978147,3760
182,wuhan,DongXiHuQu,JinYinHuJieDaoBanShiChu,183,28.23886541546432,67309
183,wuhan,XinZhouQu,CangBuJieDaoBanShiChu,184,95.23506174680556,77144
184,wuhan,HuangBeiQu,PanLongChengJingJiKaiFaQu,185,37.475250604173134,67671
185,wuhan,JiangAnQu,TaiBeiJieBanShiChu,186,0.8524099907435333,44039
