trainLine,stationName,stationCode,isFastStop,isTerminal,isSlowFastInterchange,isLineInterchange,slowTimeFromPreviousStation,latitude,longitude,s2_cell,geojson
central,ambernath,ABH,0,1,0,0,6,19.209,73.186,4316581014542483456,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.182162, 19.205905], [73.205759, 19.208119], [73.205759, 19.231149], [73.182162, 19.228933], [73.182162, 19.205905]]]}, ""properties"": {""cell"": 4316581014542483456}}"
central,badlapur,BUD,0,1,0,0,8,19.15,73.262,4316679695711076352,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.252946, 19.143444], [73.276536, 19.145641], [73.276536, 19.168673], [73.252946, 19.166474], [73.252946, 19.143444]]]}, ""properties"": {""cell"": 4316679695711076352}}"
central,vangani,VGI,0,0,0,0,9,19.094167,73.301111,4316685055830261760,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.300123, 19.07874], [73.323708, 19.080924], [73.323708, 19.103957], [73.300123, 19.10177], [73.300123, 19.07874]]]}, ""properties"": {""cell"": 4316685055830261760}}"
central,shelu,SHLU,0,0,0,0,4,19.06344,73.31777,4316684368635494400,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.300123, 19.055711], [73.323708, 19.057893], [73.323708, 19.080924], [73.300123, 19.07874], [73.300123, 19.055711]]]}, ""properties"": {""cell"": 4316684368635494400}}"
central,neral,NRL,0,0,0,0,4,19.02673,73.3184,4316682994245959680,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.300123, 19.009657], [73.323708, 19.011834], [73.323708, 19.034863], [73.300123, 19.032683], [73.300123, 19.009657]]]}, ""properties"": {""cell"": 4316682994245959680}}"
central,bhivpuri road,BVS,0,0,0,0,7,18.97,73.331389,4316694126801190912,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.323708, 18.965782], [73.34729, 18.967951], [73.34729, 18.990979], [73.323708, 18.988807], [73.323708, 18.965782]]]}, ""properties"": {""cell"": 4316694126801190912}}"
central,karjat,S,0,1,0,0,9,18.911529,73.320903,4316695226312818688,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.300123, 18.894547], [73.323708, 18.896713], [73.323708, 18.919735], [73.300123, 18.917566], [73.300123, 18.894547]]]}, ""properties"": {""cell"": 4316695226312818688}}"
central,palasdhari,PDI,0,0,0,0,5,18.884444,73.320833,,
central,kelavli,KLY,0,0,0,0,7,18.845833,73.318889,,
central,dolavli,DLV,0,0,0,0,3,18.834444,73.32,,
